,Version,Success,Description
0,1.0.0,Y,
1,1.1.0,Y,
2,1.1.1,Y,
3,1.1.2,Y,
4,1.1.3,Y,
5,1.10.0,Y,
6,1.11.0,Y,
7,1.11.1,Y,
8,1.11.2,Y,
9,1.11.3,Y,
10,1.12.0,Y,
11,1.12.2,Y,
12,1.12.3,Y,
13,1.13.0,Y,
14,1.14.0,Y,
15,1.14.1,Y,
16,1.14.2,Y,
17,1.14.3,Y,
18,1.15.0,Y,
19,1.16.0,Y,
20,1.17.0,Y,
21,1.17.1,Y,
22,1.18.0,Y,
23,1.2.0,Y,
24,1.2.1,Y,
25,1.2.10,Y,
26,1.2.12,Y,
27,1.2.2,Y,
28,1.2.3,Y,
29,1.2.4,Y,
30,1.2.5,Y,
31,1.2.6,Y,
32,1.2.7,Y,
33,1.2.8,Y,
34,1.2.9,Y,
35,1.3.0,Y,
36,1.3.1,Y,
37,1.3.2,Y,
38,1.3.3,Y,
39,1.3.4,Y,
40,1.4.0,Y,
41,1.4.1,Y,
42,1.4.2,Y,
43,1.5.0,Y,
44,1.6.0,Y,
45,1.6.1,Y,
46,1.6.2,Y,
47,1.6.3,Y,
48,1.6.4,Y,
49,1.6.5,Y,
50,1.6.6,Y,
51,1.7.0,Y,
52,1.8.0,Y,
