,Version,Success,Description
0,1.0.0,Y,
1,2.0,Y,
2,2.0.0,Y,
3,3.0.0,Y,
4,3.0.1,Y,
5,3.0.2,Y,
6,3.1.0,Y,
7,3.1.1,Y,
8,3.2.0,Y,
9,3.2.1,Y,
10,4.0.0,Y,
11,4.0.1,Y,
12,4.0.2,Y,
13,4.0.3,Y,
14,4.1.0,Y,
15,4.2.0,Y,
16,4.3.0,Y,
17,4.4.0,Y,
18,4.5.0,Y,
19,4.6.0,Y,
20,4.6.1,Y,
21,4.6.2,Y,
22,4.6.3,Y,
23,4.7.0,Y,
24,5.1.0,Y,
25,5.1.0-10,Y,
26,5.1.0-11,Y,
27,5.1.0-4,Y,
28,5.1.0-5,Y,
29,5.1.0-6,Y,
30,5.1.0-7,Y,
31,5.1.0-8,Y,
32,5.1.0-9,Y,
33,5.1.1,Y,
34,5.10.0,Y,
35,5.10.0-1,Y,
36,5.10.0-10,Y,
37,5.10.0-11,Y,
38,5.10.0-12,Y,
39,5.10.0-13,Y,
40,5.10.0-14,Y,
41,5.10.0-2,Y,
42,5.10.0-3,Y,
43,5.10.0-4,Y,
44,5.10.0-5,Y,
45,5.10.0-6,Y,
46,5.10.0-7,Y,
47,5.10.0-8,Y,
48,5.10.0-9,Y,
49,5.10.1,Y,
50,5.10.2,Y,
51,5.11.0,Y,
52,5.11.1,Y,
53,5.11.2,Y,
54,5.12.0,Y,
55,5.12.0-1,Y,
56,5.12.0-2,Y,
57,5.12.1,Y,
58,5.13.0,Y,
59,5.13.1,Y,
60,5.14.0,Y,
61,5.15.0,Y,
62,5.15.1,Y,
63,5.15.2,Y,
64,5.15.3,Y,
65,5.15.4,Y,
66,5.2.0,Y,
67,5.3.0,Y,
68,5.3.1,Y,
69,5.4.0,Y,
70,5.4.1,Y,
71,5.4.2,Y,
72,5.5.0,Y,
73,5.5.0-1,Y,
74,5.5.0-2,Y,
75,5.6.0,Y,
76,5.6.1,Y,
77,5.6.2,Y,
78,5.6.3,Y,
79,5.7.0,Y,
80,5.7.1,Y,
81,5.7.2,Y,
82,5.8.0,Y,
83,5.8.1,Y,
84,5.8.2,Y,
85,5.9.0,Y,
86,6.0.0,Y,
87,6.0.0-beta2,Y,
88,6.0.0-beta3,Y,
89,6.1.0,Y,
90,6.1.1,Y,
91,6.1.2,Y,
92,6.2.0,Y,
93,6.2.1,Y,
94,6.3.0,Y,
95,6.4.0,Y,
96,6.4.2,Y,
97,6.5.0,Y,
98,6.5.1,Y,
