,Version,Success,Description
0,1.7,N,Library loading error.
1,1.7.5,N,Library loading error.
2,1.7.6,N,Library loading error.
3,2.0.1,N,Library loading error.
4,2.0.7,N,Library loading error.
5,2.2.1,N,Library loading error.
6,2.2.8,N,Library loading error.
7,2.4.1,N,Library loading error.
8,2.4.3,N,Library loading error.
9,2.4.6,N,Library loading error.
10,2.4.7,N,Library loading error.
11,2.4.8,N,Library loading error.
12,2.4.8.1,N,Library loading error.
13,2.4.9,N,Library loading error.
14,2.5.0,N,Library loading error.
15,2.5.1,N,Library loading error.
16,2.5.2,N,Library loading error.
17,2.5.3,N,Library loading error.
18,2.5.4,N,Library loading error.
19,2.5.5,N,Library loading error.
20,2.5.6,N,Library loading error.
21,2.5.7,N,Library loading error.
22,2.5.8,N,Library loading error.
23,2.5.9,N,Library loading error.
24,2.6.0,N,Library loading error.
25,2.6.1,N,Library loading error.
26,2.6.2,N,Library loading error.
27,2.6.3,N,Library loading error.
28,2.6.4,N,Library loading error.
29,2.6.5,N,Library loading error.
30,2.6.6,N,Library loading error.
31,2.6.7,N,Library loading error.
32,2.6.8,N,Library loading error.
33,2.6.9,N,Library loading error.
34,2.7.0,N,Library loading error.
35,2.7.1,N,Library loading error.
36,2.7.2,N,Library loading error.
37,2.7.3,N,Library loading error.
38,2.7.4,N,Library loading error.
39,2.7.5,N,Library loading error.
40,2.7.6,N,Library loading error.
41,2.7.7,N,Library loading error.
42,2.7.8,N,Library loading error.
43,2.7.9,N,Library loading error.
44,2.8.0,N,Library loading error.
45,2.8.1,N,Library loading error.
46,2.8.2,N,Library loading error.
47,2.8.3,N,Library loading error.
48,2.8.4,N,Library loading error.
49,2.8.5,N,Library loading error.
50,2.8.6,N,Library loading error.
51,2.8.7,N,Library loading error.
52,2.8.8,N,Library loading error.
53,2.8.9,N,Library loading error.
54,2.9.0,N,Library loading error.
55,2.9.1,N,Library loading error.
56,2.9.1.1,N,Library loading error.
57,2.9.2,N,Library loading error.
58,2.9.3,N,Library loading error.
59,2.9.4,N,Library loading error.
60,2.9.5,N,Library loading error.
61,2.9.6,N,Library loading error.
62,2.9.7,N,Library loading error.
63,3.0.1,Y,
64,3.0.2,Y,
65,3.0.3,Y,
66,3.0.4,Y,
67,3.0.5,Y,
68,3.0.6,Y,
69,3.0.7,Y,
70,3.0.8,Y,
71,3.0.9,Y,
72,3.1.0,Y,
73,3.1.1,Y,
74,3.1.2,Y,
75,4.0.10,Y,
76,4.0.11,Y,
77,4.0.12,Y,
78,4.0.13,Y,
79,4.0.14,Y,
80,4.0.15,Y,
81,4.0.17,Y,
82,4.0.18,Y,
83,4.0.19,Y,
84,4.0.2,Y,
85,4.0.20,Y,
86,4.0.3,Y,
87,4.0.4,Y,
88,4.0.5,Y,
89,4.0.6,Y,
90,4.0.7,Y,
91,4.0.8,Y,
92,4.0.9,Y,
