,Version,Success,Description
0,0.1.0,Y,
1,0.2.0,Y,
2,1.0.0,Y,
3,1.0.1,Y,
4,1.0.2,Y,
5,1.0.3,Y,
6,1.1.0,Y,
7,1.1.1,Y,
8,1.2.0,Y,
9,1.2.1,Y,
10,1.2.2,Y,
11,2.0.0,Y,
12,2.0.1,Y,
13,2.0.10,Y,
14,2.0.11,Y,
15,2.0.2,Y,
16,2.0.3,Y,
17,2.0.4,Y,
18,2.0.5,Y,
19,2.0.6,Y,
20,2.0.7,Y,
21,2.0.8,Y,
22,2.0.9,Y,
23,2.1.0,Y,
24,2.1.1,Y,
25,2.10.0,Y,
26,2.2.0,Y,
27,2.2.1,Y,
28,2.3.0,Y,
29,2.4.0,Y,
30,2.4.1,Y,
31,2.5.0,Y,
32,2.6.0,Y,
33,2.7.0,Y,
34,2.8.0,Y,
35,2.9.0,Y,
36,3.0.0,Y,
37,3.0.1,Y,
38,4.0.0,Y,
39,5.0.0,Y,
40,5.1.0,Y,
41,5.2.0,Y,
42,5.3.0,Y,
43,5.4.0,Y,
44,5.5.0,Y,
