,Version,Success,Description
0,0.1.1,N,Library loading error.
1,1.0.0,Y,
2,1.0.0-alpha.1,Y,
3,1.0.0-alpha.10,Y,
4,1.0.0-alpha.11,Y,
5,1.0.0-alpha.12,Y,
6,1.0.0-alpha.13,Y,
7,1.0.0-alpha.14,Y,
8,1.0.0-alpha.15,Y,
9,1.0.0-alpha.16,Y,
10,1.0.0-alpha.17,Y,
11,1.0.0-alpha.18,Y,
12,1.0.0-alpha.19,Y,
13,1.0.0-alpha.2,Y,
14,1.0.0-alpha.20,Y,
15,1.0.0-alpha.21,Y,
16,1.0.0-alpha.3,Y,
17,1.0.0-alpha.4,Y,
18,1.0.0-alpha.5,Y,
19,1.0.0-alpha.6,Y,
20,1.0.0-alpha.7,Y,
21,1.0.0-alpha.8,Y,
22,1.0.0-alpha.9,Y,
23,1.0.1,Y,
24,1.0.1-rc.1,Y,
25,1.1.0,Y,
26,1.1.0-rc.1,Y,
27,1.1.0-rc.2,Y,
28,1.1.0-rc.3,Y,
29,1.1.0-rc.4,Y,
30,1.1.0-rc.5,Y,
31,1.1.0-rc.6,Y,
32,1.1.0-rc.7,Y,
33,1.1.0-rc.8,Y,
34,1.1.1,Y,
35,1.1.2,Y,
36,1.1.2-rc.1,Y,
37,1.2.0,Y,
38,1.2.0-rc.1,Y,
39,1.2.0-rc.2,Y,
40,1.2.1,Y,
41,1.2.2,Y,
42,1.2.3,Y,
43,1.3.0,Y,
44,1.3.0-alpha.0,Y,
45,1.3.0-alpha.1,Y,
46,1.3.0-alpha.2,Y,
47,1.3.0-alpha.3,Y,
48,1.3.0-alpha.4,Y,
49,1.3.0-alpha.5,Y,
50,1.3.0-rc.0,Y,
51,1.3.0-rc.1,Y,
52,1.3.0-rc.2,Y,
53,1.4.0,Y,
54,1.4.0-alpha.0,Y,
55,1.4.0-alpha.1,Y,
56,1.4.0-alpha.2,Y,
57,1.4.0-alpha.3,Y,
58,1.4.0-alpha.4,Y,
59,1.4.0-alpha.5,Y,
60,1.4.1,Y,
61,1.4.2,Y,
62,1.4.3,Y,
63,1.5.0,Y,
64,1.6.0,Y,
65,1.7.0,Y,
