,Version,Success,Description
0,0.2.2,Y,
1,0.4.0,Y,
2,0.4.1,Y,
3,0.5.0,Y,
4,0.5.1,Y,
5,0.5.2,Y,
6,0.5.3,N,Library loading error.
7,0.6.0,Y,
8,0.6.1,Y,
9,0.6.10,Y,
10,0.6.11,Y,
11,0.6.12,Y,
12,0.6.13,Y,
13,0.6.14,Y,
14,0.6.2,Y,
15,0.6.3,Y,
16,0.6.4,Y,
17,0.6.5,Y,
18,0.6.6,Y,
19,0.6.7,Y,
20,0.6.8,Y,
21,0.7.0,Y,
22,0.7.1,Y,
23,0.7.2,Y,
24,0.7.3,Y,
25,0.7.4,Y,
26,0.7.5,Y,
27,0.7.6,Y,
28,0.7.7,Y,
29,0.8.0,Y,
30,0.8.1,Y,
31,0.8.2,Y,
32,0.9.0,Y,
33,0.9.1,Y,
34,0.9.2,Y,
35,0.9.3,Y,
36,0.9.4,Y,
37,0.9.5,Y,
38,0.9.6,Y,
39,0.9.7,Y,
40,0.9.8,Y,
41,0.9.9,Y,
42,1.0.0,Y,
43,1.0.1,Y,
44,1.0.10,Y,
45,1.0.11,Y,
46,1.0.12,Y,
47,1.0.13,Y,
48,1.0.14,Y,
49,1.0.15,Y,
50,1.0.16,Y,
51,1.0.17,Y,
52,1.0.18,Y,
53,1.0.19,Y,
54,1.0.2,Y,
55,1.0.20,Y,
56,1.0.21,Y,
57,1.0.22,Y,
58,1.0.23,Y,
59,1.0.24,Y,
60,1.0.3,Y,
61,1.0.4,Y,
62,1.0.5,Y,
63,1.0.6,Y,
64,1.0.7,Y,
65,1.0.8,Y,
66,1.0.9,Y,
67,1.1.0,Y,
68,1.1.1,Y,
69,1.1.10,Y,
70,1.1.11,Y,
71,1.1.12,Y,
72,1.1.2,Y,
73,1.1.3,Y,
74,1.1.4,Y,
75,1.1.5,Y,
76,1.1.6,Y,
77,1.1.7,Y,
78,1.1.8,Y,
79,1.1.9,Y,
