,Version,Success,Description
0,0.2.27,Y,
1,0.2.30,Y,
2,0.3,N,Library loading error.
3,0.3.1,N,Library loading error.
4,0.3.2,N,Library loading error.
5,0.3.3,N,Library loading error.
6,0.3.4,N,Library loading error.
7,0.3.5,N,Library loading error.
8,0.4.0,N,Library loading error.
9,0.4.1,N,Library loading error.
10,0.4.11,N,Library loading error.
11,0.4.12,N,Library loading error.
12,0.4.13,N,Library loading error.
13,0.4.14,N,Library loading error.
14,0.4.15,N,Library loading error.
15,0.4.16,N,Library loading error.
16,0.4.17,N,Library loading error.
17,0.4.18,N,Library loading error.
18,0.4.19,N,Library loading error.
19,0.4.2,N,Library loading error.
20,0.4.20,Y,
21,0.4.21,Y,
22,0.4.22,Y,
23,0.4.23,Y,
24,0.4.24,Y,
25,0.4.25,Y,
26,0.4.3,N,Library loading error.
27,0.4.4,N,Library loading error.
28,0.4.5,N,Library loading error.
29,0.4.6,N,Library loading error.
30,0.4.7,N,Library loading error.
31,0.4.7.1,N,Library loading error.
32,0.4.8,N,Library loading error.
33,0.4.9,N,Library loading error.
