,Version,Success,Description
0,1.0.1,Y,
1,1.0.10,Y,
2,1.0.2,Y,
3,1.0.3,Y,
4,1.0.4,Y,
5,1.0.5,Y,
6,1.0.6,Y,
7,1.0.8,Y,
8,1.0.9,Y,
9,1.5.0,Y,
10,1.5.1,Y,
11,1.5.3,Y,
12,1.5.4,Y,
13,1.5.5,Y,
14,1.5.6,Y,
15,1.5.7,Y,
16,1.5.8,Y,
17,1.5.9,Y,
18,2.0.0,N,Library loading error.
19,2.0.1,N,Library loading error.
20,2.0.2,N,Library loading error.
21,2.0.3,N,Library loading error.
22,2.1.0,N,Library loading error.
23,2.1.1,N,Library loading error.
24,2.1.2,N,Library loading error.
25,2.2.0,N,Library loading error.
26,2.2.1,N,Library loading error.
27,2.3.0,N,Library loading error.
28,2.4.0,N,Library loading error.
29,2.5.0,N,Library loading error.
30,2.6.0,N,Library loading error.
