,Version,Success,Description
0,0.10.0,Y,
1,0.10.0-beta1,Y,
2,0.10.0-beta2,Y,
3,0.10.0-beta3,Y,
4,0.10.0-beta4,Y,
5,0.10.1,Y,
6,0.10.2,Y,
7,0.10.3,Y,
8,0.10.4,Y,
9,0.10.5,Y,
10,0.11.0,Y,
11,0.11.0-beta1,Y,
12,0.11.0-beta2,Y,
13,0.11.0-beta3,Y,
14,0.11.1,Y,
15,0.11.2,Y,
16,0.11.3,Y,
17,0.11.4,Y,
18,0.12.0,Y,
19,0.12.1,Y,
20,0.12.2,Y,
21,0.12.3,Y,
22,0.12.4,Y,
23,0.12.5,Y,
24,0.12.6,Y,
25,0.13.0,Y,
26,0.13.1,Y,
27,0.14.0,Y,
28,0.14.1,Y,
29,0.15.0,Y,
30,0.15.0-beta1,Y,
31,0.15.0-beta2,Y,
32,0.15.0-beta3,Y,
33,0.15.0-beta4,Y,
34,0.15.0-beta5,Y,
35,0.15.0-beta6,Y,
36,0.15.1,Y,
37,0.16.0,Y,
38,0.16.1,Y,
39,0.17.0,Y,
40,0.18.0,Y,
41,0.19.0,Y,
42,0.20.0,Y,
43,0.20.1,Y,
44,0.20.2,Y,
45,0.20.3,Y,
46,0.21.0,Y,
47,0.22.0,Y,
48,0.23.0,Y,
49,0.24.0,Y,
50,0.24.1,Y,
51,0.24.2,Y,
52,0.24.3,Y,
53,0.25.0,Y,
54,0.25.1,Y,
55,0.26.0,Y,
56,0.26.1,Y,
57,0.27.0,Y,
58,0.28.0,Y,
59,0.28.1,Y,
60,0.28.2,Y,
61,0.28.3,Y,
62,0.28.4,Y,
63,0.29.0,Y,
64,0.29.1,Y,
65,0.29.2,Y,
66,0.30.0,Y,
67,0.30.1,Y,
68,0.31.0,Y,
69,0.31.1,Y,
70,0.31.2,Y,
71,0.32.0,Y,
72,0.32.0-beta1,Y,
73,0.32.0-beta2,Y,
74,0.33.0,Y,
75,0.34.0,Y,
76,0.34.1,Y,
77,0.34.2,Y,
78,0.34.3,Y,
79,0.34.4,Y,
80,0.34.5,Y,
81,0.35.0,Y,
82,0.35.1,Y,
83,0.36.0,Y,
84,0.37.0,Y,
85,0.38.0,Y,
86,0.38.1,Y,
87,0.7.3,Y,
88,0.7.4,Y,
89,0.7.5,Y,
90,0.8.0,Y,
91,0.8.0-beta1,Y,
92,0.8.0-beta2,Y,
93,0.8.0-beta3,Y,
94,0.8.1,Y,
95,0.8.10,Y,
96,0.8.11,Y,
97,0.8.12,Y,
98,0.8.13,Y,
99,0.8.14,Y,
100,0.8.15,Y,
101,0.8.16,Y,
102,0.8.17,Y,
103,0.8.18,Y,
104,0.8.19,Y,
105,0.8.2,Y,
106,0.8.20,Y,
107,0.8.21,Y,
108,0.8.22,Y,
109,0.8.23,Y,
110,0.8.3,Y,
111,0.8.4,Y,
112,0.8.5,Y,
113,0.8.6,Y,
114,0.8.7,Y,
115,0.8.8,Y,
116,0.8.9,Y,
117,0.9.0,Y,
118,0.9.0-beta1,Y,
119,0.9.0-beta2,Y,
120,0.9.1,Y,
121,0.9.10,Y,
122,0.9.11,Y,
123,0.9.12,Y,
124,0.9.13,Y,
125,0.9.14,Y,
126,0.9.15,Y,
127,0.9.16,Y,
128,0.9.17,Y,
129,0.9.18,Y,
130,0.9.19,Y,
131,0.9.2,Y,
132,0.9.3,Y,
133,0.9.4,Y,
134,0.9.5,Y,
135,0.9.6,Y,
136,0.9.7,Y,
137,0.9.8,Y,
138,0.9.9,Y,
139,1.14.0,Y,
140,1.14.1,Y,
141,1.14.2,Y,
142,1.14.3,Y,
143,1.15.0,Y,
144,1.15.1,Y,
145,1.16.0,Y,
146,1.17.0,Y,
147,1.18.0,Y,
148,1.18.1,Y,
149,2.0.0,Y,
150,3.0.0,Y,
151,4.0.0,Y,
152,5.0.0,Y,
153,5.0.1,Y,
154,5.0.2,Y,
155,6.0.0,Y,
156,6.0.1,Y,
157,6.1.0,Y,
158,6.1.1,Y,
159,6.2.0,Y,
160,6.2.1,Y,
161,6.2.2,Y,
162,7.0.0,Y,
163,7.0.1,Y,
164,7.0.2,Y,
165,7.0.3,Y,
166,7.1.0,Y,
167,7.1.1,Y,
168,7.2.0,Y,
169,7.2.1,Y,
170,7.2.2,Y,
171,7.3.0,Y,
172,7.4.0,Y,
173,7.4.1,Y,
174,7.4.2,Y,
175,8.0.0,Y,
176,8.0.0-beta.1,Y,
177,8.0.0-beta.2,Y,
178,8.1.0,Y,
179,8.2.0,Y,
180,8.3.0,Y,
181,8.3.1,Y,
182,8.3.2,Y,
