,Version,Success,Description
0,0.1.0,Y,
1,0.1.1,Y,
2,0.1.2,Y,
3,0.1.3,Y,
4,0.1.4,Y,
5,0.1.5,Y,
6,0.1.6,Y,
7,0.2.0,Y,
8,0.2.1,Y,
9,0.2.10,Y,
10,0.2.11,Y,
11,0.2.12,Y,
12,0.2.2,Y,
13,0.2.3,Y,
14,0.2.4,Y,
15,0.2.5,Y,
16,0.2.6,Y,
17,0.2.7,Y,
18,0.2.8,Y,
19,0.2.9,Y,
20,1.0.0,Y,
21,1.0.1,Y,
22,1.1.1,Y,
23,1.1.3,Y,
24,1.1.4,Y,
25,1.1.5,Y,
26,1.10.0,Y,
27,1.10.1,Y,
28,1.11.0,Y,
29,1.11.1,Y,
30,1.11.2,Y,
31,1.12.0,Y,
32,1.13.0,Y,
33,1.13.1,Y,
34,1.13.2,Y,
35,1.13.3,Y,
36,1.13.4,Y,
37,1.13.5,Y,
38,1.13.6,Y,
39,1.14.0,Y,
40,1.14.1,Y,
41,1.15.0,Y,
42,1.15.1,Y,
43,1.16.0,Y,
44,1.16.1,Y,
45,1.17.0,Y,
46,1.17.1,Y,
47,1.18.0,Y,
48,1.18.1,Y,
49,1.18.2,Y,
50,1.18.3,Y,
51,1.18.4,Y,
52,1.18.5,Y,
53,1.18.6,Y,
54,1.18.7,Y,
55,1.18.8,Y,
56,1.19.0,Y,
57,1.19.1,Y,
58,1.19.2,Y,
59,1.19.3,Y,
60,1.19.4,Y,
61,1.19.5,Y,
62,1.2.0,Y,
63,1.2.1,Y,
64,1.2.2,Y,
65,1.2.4,Y,
66,1.2.5,Y,
67,1.20.0,Y,
68,1.3.0,Y,
69,1.3.1,Y,
70,1.3.2,Y,
71,1.3.3,Y,
72,1.3.4,Y,
73,1.3.5,Y,
74,1.3.6,Y,
75,1.3.7,Y,
76,1.4,Y,
77,1.4.1,Y,
78,1.4.2,Y,
79,1.4.3,Y,
80,1.5.0,Y,
81,1.5.1,Y,
82,1.6.0,Y,
83,1.7.0,Y,
84,1.7.1,Y,
85,1.7.2,Y,
86,1.7.3,Y,
87,1.7.4,Y,
88,1.7.5,Y,
89,1.8.0,Y,
90,1.8.1,Y,
91,1.8.2,Y,
92,1.8.3,Y,
93,1.8.4,Y,
94,1.9.0,Y,
95,1.9.1,Y,
96,1.9.2,Y,
97,1.9.3,Y,
98,1.9.4,Y,
99,1.9.5,Y,
100,1.9.6,Y,
101,1.9.7,Y,
102,1.9.8,Y,
103,1.9.9,Y,
104,2.0.0-1,Y,
105,2.0.0-2,Y,
106,2.0.0-3,Y,
107,2.0.0-4,Y,
