,Version,Success,Description
0,3.8.1,N,Library loading error.
1,3.8.2,N,Library loading error.
2,3.8.3,N,Library loading error.
3,3.8.4,N,Library loading error.
4,4.0.0,N,Library loading error.
5,4.0.1,N,Library loading error.
6,4.1.0,N,Library loading error.
7,4.10.0,N,Library loading error.
8,4.11.0,N,Library loading error.
9,4.12.0,N,Library loading error.
10,4.2.0,N,Library loading error.
11,4.2.1,N,Library loading error.
12,4.2.2,N,Library loading error.
13,4.3.0,N,Library loading error.
14,4.3.1,N,Library loading error.
15,4.4.0,N,Library loading error.
16,4.5.0,N,Library loading error.
17,4.5.1,N,Library loading error.
18,4.6.0,N,Library loading error.
19,4.6.1,N,Library loading error.
20,4.7.0,N,Library loading error.
21,4.8.0,N,Library loading error.
22,4.8.1,N,Library loading error.
23,4.8.5,N,Library loading error.
24,4.9.0,N,Library loading error.
