,Version,Success,Description
0,0.4.0,Y,
1,0.4.1,Y,
2,0.4.2,Y,
3,0.4.3,Y,
4,0.4.4,Y,
5,0.4.5,Y,
6,0.5.0,Y,
7,0.5.1,Y,
8,0.5.2,Y,
9,0.5.3,Y,
10,0.5.4,Y,
11,0.5.5,Y,
12,0.5.6,Y,
13,0.6.0,Y,
14,0.6.1,Y,
15,0.6.2,Y,
16,0.6.3,Y,
17,0.6.4,Y,
18,0.6.5,Y,
19,0.6.6,Y,
20,0.6.7,Y,
21,0.6.8,Y,
22,0.6.9,Y,
23,0.7.0,Y,
24,0.7.1,Y,
25,0.7.2,Y,
26,0.8.0,Y,
27,0.8.1,Y,
28,1.0.0,Y,
29,1.0.1,Y,
30,1.1.1,Y,
31,1.2.0,Y,
32,1.3.0,Y,
33,1.3.1,Y,
34,1.4.0,Y,
35,1.5.0,Y,
36,2.0.0,Y,
37,2.1.0,Y,
38,2.1.1,Y,
39,2.1.2,Y,
40,2.1.3,Y,
41,2.1.4,Y,
42,2.1.5,Y,
43,2.1.6,Y,
44,2.1.7,Y,
45,3.0.0,Y,
46,3.0.1,Y,
47,3.0.2,Y,
48,3.0.3,Y,
49,3.1.0,Y,
50,3.1.1,Y,
51,3.2.0,Y,
52,3.2.3,Y,
53,3.3.0,Y,
54,3.3.1,Y,
55,3.3.2,Y,
56,3.3.3,Y,
57,3.4.0,Y,
58,3.4.1,Y,
59,3.4.2,Y,
60,3.4.3,Y,
61,3.4.4,Y,
62,3.5.0,Y,
63,3.5.1,Y,
64,3.5.10,Y,
65,3.5.11,Y,
66,3.5.12,Y,
67,3.5.13,Y,
68,3.5.14,Y,
69,3.5.15,Y,
70,3.5.16,Y,
71,3.5.17,Y,
72,3.5.18,Y,
73,3.5.19,Y,
74,3.5.2,Y,
75,3.5.20,Y,
76,3.5.21,Y,
77,3.5.3,Y,
78,3.5.4,Y,
79,3.5.5,Y,
80,3.5.6,Y,
81,3.5.7,Y,
82,3.5.8,Y,
83,3.5.9,Y,
84,3.6.0,Y,
85,4.0.0,Y,
