,Version,Success,Description
0,1.10.0,Y,
1,1.10.1,Y,
2,1.10.10,Y,
3,1.10.2,Y,
4,1.10.3,Y,
5,1.10.4,Y,
6,1.10.5,Y,
7,1.10.6,Y,
8,1.10.7,Y,
9,1.10.8,Y,
10,1.10.9,Y,
11,1.11.0,Y,
12,1.11.1,Y,
13,1.11.10,Y,
14,1.11.11,Y,
15,1.11.2,Y,
16,1.11.3,Y,
17,1.11.4,Y,
18,1.11.5,Y,
19,1.11.6,Y,
20,1.11.7,Y,
21,1.11.8,Y,
22,1.11.9,Y,
23,1.6.0,N,Library loading error.
24,1.6.1,N,Library loading error.
25,1.6.2,N,Library loading error.
26,1.7.0,Y,
27,1.8.0,Y,
28,1.8.1,Y,
29,1.8.2,Y,
30,1.8.3,Y,
31,1.8.4,Y,
32,1.8.5,Y,
33,1.9.0,Y,
