,Version,Success,Description
0,0.4.0,Y,
1,0.4.1,Y,
2,0.5.0-alpha1,Y,
3,0.5.0-alpha2,Y,
4,0.5.0-beta1,Y,
5,0.5.0-beta3,Y,
6,0.5.0-beta4,Y,
7,1.0.0,Y,
8,1.0.0-alpha.11,Y,
9,1.0.0-alpha.12,Y,
10,1.0.0-rc.0,Y,
11,1.0.0-rc.1,Y,
12,1.0.0-rc.2,Y,
13,1.0.0-rc.3,Y,
14,1.0.0-rc.4,Y,
15,1.0.0-rc.5,Y,
16,1.0.0-rc.6,Y,
17,1.0.0-rc.7,Y,
18,1.1.0,Y,
19,1.1.1,Y,
20,1.1.2,Y,
21,1.1.3,Y,
22,1.1.4,Y,
23,1.1.5,N,Library loading error.
24,1.2.0,N,Library loading error.
25,1.2.1,N,Library loading error.
26,1.2.2,N,Library loading error.
27,1.3.0,N,Library loading error.
28,1.3.1,N,Library loading error.
29,1.3.2,N,Library loading error.
30,1.3.3,N,Library loading error.
31,1.3.4,N,Library loading error.
32,1.4.0,N,Library loading error.
33,1.4.1,N,Library loading error.
