,Version,Success,Description
0,0.1.0,Y,
1,0.2.0,Y,
2,1.0.0,Y,
3,1.0.1,Y,
4,1.0.3,Y,
5,1.1.0,Y,
6,1.1.1,Y,
7,1.2.0,Y,
8,1.2.1,Y,
9,1.2.2,Y,
10,1.2.3,Y,
11,1.2.4,Y,
12,1.2.5,Y,
13,1.3.0,Y,
14,1.3.2,Y,
15,1.3.3,Y,
16,1.3.4,Y,
17,1.3.5,Y,
18,1.3.6,Y,
19,1.3.7,Y,
20,1.4.0,Y,
21,1.4.1,Y,
22,1.4.2,Y,
23,1.4.3,Y,
24,1.4.4,Y,
25,2.0.0,Y,
26,2.0.0-pre,Y,
27,2.1.0,Y,
28,2.1.1,Y,
29,2.2.0,Y,
30,2.2.1,Y,
31,2.2.2,Y,
32,2.2.3,Y,
33,2.3.0,Y,
34,2.3.1,Y,
35,2.3.2,Y,
36,2.4.0,Y,
37,2.4.1,Y,
38,2.4.2,Y,
39,2.4.3,Y,
40,2.4.4,Y,
41,2.4.5,Y,
42,2.4.6,Y,
43,2.4.7,Y,
44,2.4.8,Y,
45,2.5.0,Y,
46,2.5.1,Y,
47,2.5.2,Y,
48,2.6.0,Y,
49,2.6.1,Y,
50,2.6.2,Y,
51,2.6.3,Y,
52,2.6.4,Y,
53,2.6.5,Y,
54,2.7.0,Y,
55,2.7.1,Y,
56,2.8.0,Y,
57,2.8.1,Y,
58,2.8.10,Y,
59,2.8.2,Y,
60,2.8.3,Y,
61,2.8.4,Y,
62,2.8.5,Y,
63,2.8.6,Y,
64,2.8.7,Y,
65,2.8.8,Y,
66,2.8.9,Y,
67,3.0.0,Y,
68,3.1.0,Y,
69,3.1.1,Y,
70,3.2.0,Y,
71,3.2.1,Y,
72,3.3.0,Y,
73,3.3.1,Y,
74,3.3.2,Y,
75,3.3.3,Y,
76,3.4.0,Y,
77,3.4.1,Y,
78,3.4.2,Y,
79,3.5.0,Y,
80,3.5.1,Y,
81,3.5.10,Y,
82,3.5.11,Y,
83,3.5.12,Y,
84,3.5.13,Y,
85,3.5.14,Y,
86,3.5.15,Y,
87,3.5.16,Y,
88,3.5.2,Y,
89,3.5.3,Y,
90,3.5.4,Y,
91,3.5.5,Y,
92,3.5.6,Y,
93,3.5.7,Y,
94,3.5.8,Y,
95,3.5.9,Y,
96,3.6.0,Y,
97,3.6.1,Y,
98,3.6.2,Y,
99,3.6.3,Y,
100,3.6.4,Y,
101,3.6.5,Y,
102,3.6.6,Y,
103,4.0.0,Y,
104,4.0.1,Y,
105,4.0.2,Y,
106,4.0.3,Y,
107,4.0.4,Y,
108,4.1.0,Y,
109,4.1.1,Y,
110,4.2.0,Y,
111,4.2.1,Y,
112,4.2.10,Y,
113,4.2.11,Y,
114,4.2.2,Y,
115,4.2.3,Y,
116,4.2.4,Y,
117,4.2.5,Y,
118,4.2.6,Y,
119,4.2.8,Y,
120,4.2.9,Y,
121,4.3.1,Y,
122,4.3.2,Y,
123,4.3.3,Y,
124,4.3.4,Y,
125,4.3.5,Y,
126,4.3.6,Y,
127,4.3.7,Y,
128,4.3.8,Y,
129,4.3.9,Y,
