,Version,Success,Description
0,2.0.0,N,Library loading error.
1,2.0.1,N,Library loading error.
2,2.0.10,Y,
3,2.0.11,Y,
4,2.0.12,Y,
5,2.0.13,Y,
6,2.0.14,Y,
7,2.0.15,Y,
8,2.0.16,Y,
9,2.0.17,Y,
10,2.0.2,N,Library loading error.
11,2.0.3,N,Library loading error.
12,2.0.4,N,Library loading error.
13,2.0.5,Y,
14,2.0.6,Y,
15,2.0.7,Y,
16,2.0.8,Y,
17,2.0.9,Y,
18,2.1.0,Y,
19,2.2.1,Y,
20,2.2.2,Y,
21,2.2.3,Y,
22,2.3.0,Y,
23,2.3.1,Y,
24,2.3.2,Y,
25,2.5.0,Y,
26,2.5.1,Y,
27,2.6.0,Y,
28,2.6.1,Y,
29,2.6.2,Y,
30,3.0.0,Y,
31,3.0.1,Y,
32,3.0.2,Y,
33,3.0.3,Y,
34,3.1.0,Y,
35,3.2.0,Y,
36,3.2.1,Y,
37,3.3.0,Y,
38,3.4.0,Y,
39,3.4.1,Y,
40,3.5.0,Y,
41,3.6.0,Y,
42,3.6.1,Y,
43,3.6.2,Y,
44,3.6.4,Y,
45,3.7.0,Y,
46,3.7.1,Y,
47,3.7.2,Y,
48,3.7.3,Y,
49,3.7.4,Y,
50,3.7.5,Y,
51,3.7.6,Y,
52,3.8.0,Y,
53,3.8.1,Y,
54,3.8.2,Y,
55,4.0.0,Y,
56,4.0.0-rc.1,Y,
57,4.0.0-rc.10,Y,
58,4.0.0-rc.11,Y,
59,4.0.0-rc.12,Y,
60,4.0.0-rc.14,Y,
61,4.0.0-rc.15,Y,
62,4.0.0-rc.2,Y,
63,4.0.0-rc.3,Y,
64,4.0.0-rc.4,Y,
65,4.0.0-rc.5,Y,
66,4.0.0-rc.6,Y,
67,4.0.0-rc.7,Y,
68,4.0.0-rc.8,Y,
69,4.0.0-rc.9,Y,
70,4.1.0,Y,
71,4.2.0,Y,
72,4.2.1,Y,
73,4.2.2,Y,
74,4.2.3,Y,
75,4.2.4,Y,
76,4.3.0,Y,
77,4.3.1,Y,
78,4.3.2,Y,
79,4.3.3,Y,
80,4.3.4,Y,
81,5.0.0-beta.1,N,Library loading error.
82,5.0.0-beta.2,N,Library loading error.
83,5.0.0-beta.3,Y,
84,5.0.0-beta.4,N,Library loading error.
