,Version,Success,Description
0,1.3.0,Y,
1,1.3.0-rc.1,Y,
2,1.3.0-rc.10,Y,
3,1.3.0-rc.3,Y,
4,1.3.0-rc.4,Y,
5,1.3.0-rc.8,Y,
6,1.3.0-rc.9,Y,
7,1.4.1,Y,
8,1.5.1,Y,
9,1.5.6,Y,
10,1.6.0,Y,
11,1.6.1,Y,
12,2.0.0,Y,
13,3.0.0,Y,
14,3.1.1,Y,
15,3.10.0,Y,
16,3.10.1,Y,
17,3.4.2,Y,
18,3.5.0,Y,
19,3.5.1,Y,
20,3.5.2,Y,
21,3.5.3,Y,
22,3.5.4,Y,
23,3.6.0,Y,
24,3.6.1,Y,
25,3.6.3,Y,
26,3.6.4,Y,
27,3.7.0,Y,
28,3.7.1,Y,
29,3.8.0,Y,
30,3.8.1,Y,
31,3.8.2,Y,
32,3.9.0,Y,
33,4.0.0,Y,
34,4.0.0-0,Y,
35,4.0.0-1,Y,
36,4.0.0-10,Y,
37,4.0.0-11,Y,
38,4.0.0-12,Y,
39,4.0.0-13,Y,
40,4.0.0-14,Y,
41,4.0.0-15,Y,
42,4.0.0-16,Y,
43,4.0.0-17,Y,
44,4.0.0-18,Y,
45,4.0.0-19,Y,
46,4.0.0-2,Y,
47,4.0.0-20,Y,
48,4.0.0-21,Y,
49,4.0.0-3,Y,
50,4.0.0-4,Y,
51,4.0.0-5,Y,
52,4.0.0-6,Y,
53,4.0.0-7,Y,
54,4.0.0-8,Y,
55,4.0.0-9,Y,
56,4.0.0-alpha1,Y,
57,4.0.1,Y,
58,4.0.2,Y,
59,4.0.3,Y,
60,4.0.4,Y,
61,4.0.6,Y,
62,4.0.7,Y,
63,4.0.8,Y,
64,5.0.0,Y,
65,5.0.0-0,Y,
66,5.0.0-1,Y,
67,5.0.0-2,Y,
68,5.0.1,Y,
69,5.0.2,Y,
70,5.0.3,Y,
71,5.0.4,Y,
72,5.0.5,Y,
73,5.0.6,Y,
74,5.1.0,Y,
75,5.1.1,Y,
76,5.2.0,Y,
77,5.3.0,Y,
78,5.4.0,Y,
79,5.4.1,Y,
80,5.4.2,Y,
81,5.5.0,Y,
82,5.6.0,Y,
83,5.6.1,Y,
84,6.0.0,Y,
85,6.0.0-rc.0,Y,
86,6.0.0-rc.1,Y,
87,6.0.0-rc.3,Y,
88,6.0.0-rc.5,Y,
89,6.0.1,Y,
90,6.0.2,Y,
91,6.0.3,Y,
92,6.1.0,Y,
93,6.1.1,Y,
94,6.1.2,Y,
95,6.1.3,Y,
96,6.1.4,Y,
97,6.1.5,Y,
98,6.2.0,Y,
99,6.2.1,Y,
100,6.3.0,Y,
101,6.3.1,Y,
102,7.0.0,Y,
103,7.0.1,Y,
104,7.0.2,Y,
105,7.0.4,Y,
106,7.0.5,Y,
107,7.1.0,Y,
108,7.1.1,Y,
109,7.1.10,Y,
110,7.1.11,Y,
111,7.1.12,Y,
112,7.1.13,Y,
113,7.1.2,Y,
114,7.1.3,Y,
115,7.1.4,Y,
116,7.1.5,Y,
117,7.1.6,Y,
118,7.1.7,Y,
119,7.1.8,Y,
120,7.1.9,Y,
121,7.2.0,Y,
122,7.2.1,Y,
123,7.3.0,Y,
124,7.3.1,Y,
125,7.3.2,Y,
126,7.3.3,Y,
127,7.4.0,Y,
128,7.4.1,Y,
129,7.4.10,Y,
130,7.4.11,Y,
131,7.4.2,Y,
132,7.4.3,Y,
133,7.4.4,Y,
134,7.4.5,Y,
135,7.4.6,Y,
136,7.4.7,Y,
137,7.4.8,Y,
138,7.4.9,Y,
139,8.0.0,Y,
140,8.0.1,Y,
141,8.0.2,Y,
142,8.0.3,Y,
143,8.0.4,Y,
144,8.0.5,Y,
145,8.0.6,Y,
146,8.1.0,Y,
147,8.1.1,Y,
148,8.2.0,Y,
149,8.2.1,Y,
150,8.2.2,Y,
151,8.2.3,Y,
