,Version,Success,Description
0,3.3.10,N,Library loading error.
1,3.3.11,N,Library loading error.
2,3.3.5,N,Library loading error.
3,3.3.6,N,Library loading error.
4,3.3.7,N,Library loading error.
5,3.3.8,N,Library loading error.
6,3.3.9,N,Library loading error.
7,4.0.0,N,Library loading error.
8,4.0.0-beta.14,N,Library loading error.
9,4.0.0-beta.2,N,Library loading error.
10,4.0.0-beta.30,N,Library loading error.
11,4.0.0-beta.31,N,Library loading error.
12,4.0.0-beta.32,N,Library loading error.
13,4.0.0-beta.33,N,Library loading error.
14,4.0.0-beta.38,N,Library loading error.
15,4.0.0-beta.42,N,Library loading error.
16,4.0.0-beta.45,N,Library loading error.
17,4.0.0-beta.46,N,Library loading error.
18,4.0.0-beta.48,N,Library loading error.
19,4.0.0-beta.51,N,Library loading error.
20,4.0.0-beta.52,N,Library loading error.
21,4.0.0-beta.54,N,Library loading error.
22,4.0.0-beta.56,N,Library loading error.
23,4.0.0-beta.57,N,Library loading error.
24,4.0.0-beta.64,N,Library loading error.
25,4.0.0-beta.66,N,Library loading error.
26,4.0.0-beta.9,N,Library loading error.
27,4.0.1,N,Library loading error.
28,4.0.1-beta.24,N,Library loading error.
29,4.0.1-beta.29,N,Library loading error.
30,4.0.1-beta.36,N,Library loading error.
31,4.0.1-beta.37,N,Library loading error.
32,4.0.1-beta.38,N,Library loading error.
33,4.0.1-beta.39,N,Library loading error.
34,4.0.1-beta.6,N,Library loading error.
35,4.0.1-beta.7,N,Library loading error.
36,4.0.2,N,Library loading error.
37,4.0.3,N,Library loading error.
38,4.0.3-beta.2,N,Library loading error.
39,4.0.3-beta.4,N,Library loading error.
40,4.0.3-beta.5,N,Library loading error.
41,4.0.3-beta.6,N,Library loading error.
42,4.0.3-beta.7,N,Library loading error.
43,4.0.3-beta.8,N,Library loading error.
44,4.0.4,N,Library loading error.
45,4.0.5,N,Library loading error.
46,4.0.6,N,Library loading error.
47,4.0.7,N,Library loading error.
48,4.0.8,N,Library loading error.
49,4.0.9,N,Library loading error.
50,5.0.0,Y,
51,5.0.0-beta.280,Y,
52,5.0.0-beta.285,Y,
53,5.0.0-beta.290,Y,
54,5.0.0-beta.302,Y,
55,5.0.0-beta.308,Y,
56,5.0.0-beta.310,Y,
57,5.0.0-beta.313,Y,
58,5.0.0-beta.314,Y,
59,5.0.0-beta.319,Y,
60,5.0.0-beta.320,Y,
61,5.0.0-beta.321,Y,
62,5.0.0-beta.322,Y,
63,5.0.0-beta.323,Y,
64,5.0.1,Y,
65,5.0.1-beta.0,Y,
66,5.0.1-beta.10,Y,
67,5.0.1-beta.12,Y,
68,5.0.1-beta.5,Y,
69,5.0.1-beta.7,Y,
70,5.0.2,Y,
71,5.0.2-beta.7,Y,
72,5.0.3,Y,
73,5.0.4,Y,
74,5.0.4-beta.1,Y,
75,5.0.4-beta.26,Y,
76,5.0.4-beta.33,Y,
77,5.0.4-beta.8,Y,
78,5.0.5,Y,
79,5.0.6,Y,
80,5.0.6-beta.11,Y,
81,5.0.6-beta.12,Y,
82,5.0.6-beta.14,Y,
83,5.0.6-beta.15,Y,
84,5.0.6-beta.18,Y,
85,5.0.6-beta.19,Y,
86,5.0.6-beta.20,Y,
87,5.0.6-beta.21,Y,
88,5.0.6-beta.22,Y,
89,5.0.6-beta.23,Y,
90,5.0.6-beta.24,Y,
91,5.0.6-beta.25,Y,
92,5.0.6-beta.29,Y,
93,5.0.6-beta.3,Y,
94,5.0.6-beta.31,Y,
95,5.0.6-beta.32,Y,
96,5.0.6-beta.37,Y,
97,5.0.6-beta.40,Y,
98,5.0.6-beta.42,Y,
99,5.0.6-beta.43,Y,
100,5.0.6-beta.5,Y,
101,5.0.6-beta.57,Y,
102,5.0.6-beta.6,Y,
103,5.0.6-beta.8,Y,
104,5.0.6-beta.9,Y,
105,5.0.7,Y,
106,5.0.7-beta.17,Y,
107,5.0.7-beta.18,Y,
108,5.0.7-beta.19,Y,
109,5.0.7-beta.23,Y,
110,5.0.7-beta.29,Y,
111,5.0.8,Y,
112,5.0.8-beta.0,Y,
113,5.0.8-beta.1,Y,
114,5.0.8-beta.15,Y,
115,5.0.8-beta.17,Y,
116,5.0.8-beta.25,Y,
117,5.0.8-beta.47,Y,
118,5.0.8-beta.7,Y,
119,5.0.8-beta.70,Y,
120,5.0.8-beta.71,Y,
121,5.0.8-beta.72,Y,
122,5.0.9-beta.10,Y,
123,5.0.9-beta.16,Y,
124,5.0.9-beta.17,Y,
125,5.0.9-beta.18,Y,
126,5.0.9-beta.21,Y,
127,5.0.9-beta.24,Y,
128,5.0.9-beta.25,Y,
129,5.0.9-beta.28,Y,
130,5.0.9-beta.30,Y,
131,5.0.9-beta.32,Y,
132,5.0.9-beta.33,Y,
133,5.0.9-beta.35,Y,
134,5.0.9-beta.36,Y,
135,5.0.9-beta.37,Y,
136,5.0.9-beta.38,Y,
137,5.0.9-beta.39,Y,
138,5.0.9-beta.45,Y,
139,5.0.9-beta.6,Y,
140,5.0.9-beta.7,Y,
