,Version,Success,Description
0,0.2.1,Y,
1,0.4.0,Y,
2,0.5.0,Y,
3,0.6.0,Y,
4,0.9.0,Y,
5,1.0.0,Y,
6,1.1.0,Y,
7,1.1.1,Y,
8,2.0.0,Y,
9,2.1.0,Y,
10,2.2.0,Y,
11,2.3.0,Y,
12,2.4.0,Y,
13,2.5.0,Y,
14,2.6.0,Y,
15,2.7.0,Y,
16,2.8.0-alpha.1,Y,
17,2.9.0,Y,
18,2.9.1,Y,
19,2.9.2,Y,
20,2.9.3,Y,
21,3.0.0-beta.1,Y,
22,3.0.1,Y,
23,3.1.0,Y,
24,3.2.0,Y,
25,3.2.1,Y,
26,3.3.1,Y,
27,3.4.0,Y,
28,4.0.0,Y,
29,4.1.0,Y,
30,4.2.0,Y,
31,4.2.1,Y,
32,4.2.2,Y,
33,4.3.0,Y,
34,5.0.0,Y,
35,5.1.0,Y,
36,6.0.0,Y,
37,7.0.0,Y,
38,7.0.1,Y,
39,7.1.0,Y,
40,7.2.0,Y,
