,Version,Success,Description
0,0.10.0,Y,
1,0.10.1,Y,
2,0.10.2,Y,
3,0.10.3,Y,
4,0.10.4,Y,
5,0.10.5,Y,
6,0.10.6,Y,
7,0.10.7,Y,
8,0.11.0,Y,
9,0.11.1,Y,
10,0.12.0,Y,
11,0.12.1,Y,
12,0.12.2,Y,
13,0.12.3,Y,
14,0.12.4,Y,
15,0.13.0,Y,
16,0.14.0,Y,
17,0.14.1,Y,
18,0.14.2,Y,
19,0.15.0,Y,
20,0.15.1,Y,
21,0.15.2,Y,
22,0.15.3,Y,
23,0.15.4,Y,
24,0.16.0,Y,
25,0.16.1,Y,
26,0.16.2,Y,
27,0.16.3,Y,
28,0.16.4,Y,
29,0.17.0,Y,
30,0.18.0,Y,
31,0.19.0,Y,
32,0.20.0,Y,
33,0.20.1,Y,
34,0.20.2,Y,
35,0.20.3,Y,
36,0.21.0,Y,
37,0.22.0,Y,
38,0.22.1,Y,
39,0.23.0,Y,
40,0.24.0,Y,
41,0.25.0,Y,
42,0.26.0,Y,
43,0.26.1,Y,
44,0.26.2,Y,
45,0.26.3,Y,
46,0.27.0,Y,
47,0.27.1,Y,
48,0.27.2,Y,
49,0.27.3,Y,
50,0.27.4,Y,
51,0.27.5,Y,
52,0.27.6,Y,
53,0.27.7,Y,
54,0.28.0,Y,
55,0.28.1,Y,
56,0.28.2,Y,
57,0.29.0,Y,
58,0.30.0,N,Library loading error.
59,0.31.0,Y,
60,0.31.1,Y,
61,0.31.2,Y,
62,0.32.0,Y,
63,0.33.0,N,Library loading error.
64,0.34.0,N,Library loading error.
65,0.34.1,N,Library loading error.
66,0.35.0,Y,
67,0.9.3,Y,
68,0.9.4,Y,
69,1.0.0,Y,
70,1.0.1,Y,
71,1.0.2,Y,
72,1.1.0,Y,
73,1.1.1,Y,
74,1.1.2,Y,
75,1.1.3,Y,
76,1.1.4,Y,
77,1.1.5,Y,
78,1.10.0,Y,
79,1.11.0,Y,
80,1.2.0,Y,
81,1.3.0,Y,
82,1.3.1,Y,
83,1.4.0,Y,
84,1.4.1,Y,
85,1.4.2,Y,
86,1.5.0,Y,
87,1.6.0,Y,
88,1.7.0,Y,
89,1.8.0,Y,
90,1.8.1,Y,
91,1.8.2,Y,
92,1.9.0,Y,
93,1.9.1,Y,
94,1.9.2,Y,
