,Version,Success,Description
0,0.10.0,Y,
1,0.10.1,Y,
2,0.10.1-canary.870.821.0,Y,
3,0.10.2,Y,
4,0.10.2-canary.875.842.0,Y,
5,0.10.3,Y,
6,0.10.4-canary.882.884.0,Y,
7,0.10.4-canary.882.885.0,Y,
8,0.10.5-canary.882.886.0,Y,
9,0.11.0,Y,
10,0.11.1-canary.891.908.0,Y,
11,0.12.0,Y,
12,0.12.1,Y,
13,0.12.1-canary.892.924.0,Y,
14,0.12.2-canary.899.952.0,Y,
15,0.13.0,Y,
16,0.13.0-canary.899.964.0,Y,
17,0.14.0,Y,
18,0.14.0-canary.904.976.0,Y,
19,0.14.1-canary.911.993.0,Y,
20,0.14.1-canary.919.1005.0,Y,
21,0.15.0,Y,
22,0.15.1-canary.924.1021.0,Y,
23,0.16.0,Y,
24,0.16.1,Y,
25,0.16.10,Y,
26,0.16.11,Y,
27,0.16.12,Y,
28,0.16.13,Y,
29,0.16.2,Y,
30,0.16.2-canary.1008.1164.0,Y,
31,0.16.2-canary.1016.1185.0,Y,
32,0.16.2-canary.1045.1221.0,Y,
33,0.16.2-canary.1051.1228.0,Y,
34,0.16.2-canary.1052.1235.0,Y,
35,0.16.2-canary.1070.1265.0,Y,
36,0.16.2-canary.1073.1276.0,Y,
37,0.16.2-canary.1080.1288.0,Y,
38,0.16.2-canary.1082.1294.0,Y,
39,0.16.2-canary.1084.1305.0,Y,
40,0.16.2-canary.1086.1311.0,Y,
41,0.16.2-canary.1093.1332.0,Y,
42,0.16.2-canary.1094.1345.0,Y,
43,0.16.2-canary.919.1052.0,Y,
44,0.16.2-canary.934.1053.0,Y,
45,0.16.2-canary.938.1059.0,Y,
46,0.16.2-canary.947.1077.0,Y,
47,0.16.2-canary.956.1095.0,Y,
48,0.16.2-canary.964.1101.0,Y,
49,0.16.2-canary.969.1115.0,Y,
50,0.16.2-canary.984.1126.0,Y,
51,0.16.3,Y,
52,0.16.3-canary.1014.1579.0,Y,
53,0.16.3-canary.1040.1589.0,Y,
54,0.16.3-canary.1045.1590.0,Y,
55,0.16.3-canary.1082.1591.0,Y,
56,0.16.3-canary.1085.1581.0,Y,
57,0.16.3-canary.1100.1371.0,Y,
58,0.16.3-canary.1108.1382.0,Y,
59,0.16.3-canary.1109.1388.0,Y,
60,0.16.3-canary.1113.1404.0,Y,
61,0.16.3-canary.1125.1580.0,Y,
62,0.16.3-canary.993.1592.0,Y,
63,0.16.3-canary.999.1588.0,Y,
64,0.16.4,Y,
65,0.16.5,Y,
66,0.16.6,Y,
67,0.16.7,Y,
68,0.16.8,Y,
69,0.16.9,Y,
70,0.17.0,Y,
71,0.17.0--canary.1131.af3cb94.0,Y,
72,0.17.1,Y,
73,0.17.1--canary.1134.e007a48.0,Y,
74,0.17.1--canary.e22c14a.0,Y,
75,0.17.10,Y,
76,0.17.2,Y,
77,0.17.3,Y,
78,0.17.3--canary.1136.7f5f5d8.0,Y,
79,0.17.4,Y,
80,0.17.5,Y,
81,0.17.6,Y,
82,0.17.6--canary.1137.5e459dc.0,Y,
83,0.17.6--canary.1cb89cf.0,Y,
84,0.17.6--canary.cd893f3.0,Y,
85,0.17.7,Y,
86,0.17.8,Y,
87,0.17.8--canary.1137.476d7bd.0,Y,
88,0.17.9,Y,
89,0.17.9--canary.1140.4042b43.0,Y,
90,0.17.9--canary.1140.831bc3c.0,Y,
91,0.17.9--canary.1140.e3ff49d.0,Y,
92,0.17.9--canary.1141.cd4d455.0,Y,
93,0.17.9--canary.1143.90575e6.0,Y,
94,0.17.9--canary.1144.3455afd.0,Y,
95,0.17.9--canary.fc042e5.0,Y,
96,0.18.0,Y,
97,0.18.0--canary.1133.54bf269.0,Y,
98,0.18.0--canary.1135.911ed04.0,Y,
99,0.19.0,Y,
100,0.20.0,Y,
101,0.20.1,Y,
102,0.20.2,Y,
103,0.21.0,N,Library loading error.
104,0.21.0--canary.1149.3239903.0,N,Library loading error.
105,0.21.0--canary.1149.a81f653.0,N,Library loading error.
106,0.21.1,Y,
107,0.21.1--canary.1153.3cc6d7b.0,Y,
108,0.21.2,Y,
109,0.21.2--canary.1156.1f8a92bfc1cbc6b5f3ad2490d0ec86710c81f635.0,Y,
110,0.21.2--canary.1156.8b2cc45.0,N,Library loading error.
111,0.21.2--canary.1156.ba9fec9d0c9109924b4a5acab31bcaef8159a610.0,Y,
112,0.21.3,Y,
113,0.21.4--canary.1163.6a6ae39e83bd731ccd25120a160a75b32273f9bd.0,Y,
114,0.21.4--canary.1163.7b9287fff1036ae67190d5ea3a8dec9926373a63.0,Y,
115,0.21.4--canary.1163.a26f5b300ee88c2fadb9909dd390cb4380b32a42.0,Y,
116,0.21.4--canary.1163.d07ed6254d130e2995d24101e93427ec091016e6.0,Y,
117,0.22.0,Y,
118,0.22.1,N,Library loading error.
119,0.22.1--canary.1169.6db477d088d28aea43b31d9ca8b0eaf74dc511d1.0,Y,
120,0.22.1--canary.1173.30a931db5f6552c59e4c99f41fdb9e2b9ccf8291.0,N,Library loading error.
121,0.22.10,Y,
122,0.22.2,N,Library loading error.
123,0.22.3,Y,
124,0.22.3--canary.1184.ff6583af74ba85d9555c36db2844886e269feb16.0,Y,
125,0.22.4,Y,
126,0.22.4--canary.1187.30d10f964404705d383d7163b7d3f85baa2201b7.0,Y,
127,0.22.5,Y,
128,0.22.6,Y,
129,0.22.6--canary.1198.9324a88b87a1fc38b528af47ca707d97593dddaa.0,Y,
130,0.22.7,Y,
131,0.22.8,Y,
132,0.22.9,Y,
133,0.9.7,Y,
134,0.9.8,Y,
135,0.9.8-canary.866.767.0,Y,
136,0.9.9-canary.867.792.0,Y,
137,0.9.9-canary.868.799.0,Y,
