,Version,Success,Description
0,0.6.1,Y,
1,0.6.3,Y,
2,0.6.4,Y,
3,0.7.0,Y,
4,0.8.0,Y,
5,0.8.1,N,Library loading error.
6,0.9.0,N,Library loading error.
7,0.9.1,N,Library loading error.
8,0.9.10,Y,
9,0.9.2,N,Library loading error.
10,0.9.3,N,Library loading error.
11,0.9.4,N,Library loading error.
12,0.9.5,Y,
13,0.9.6,Y,
14,0.9.7,Y,
15,0.9.7-rappid.6,Y,
16,0.9.7-rappid.7,N,Library loading error.
17,0.9.8,Y,
18,0.9.9,Y,
19,1.0.0,N,Library loading error.
20,1.0.1,N,Library loading error.
21,1.0.2,N,Library loading error.
22,1.0.3,N,Library loading error.
23,1.1.0,N,Library loading error.
24,2.0.0,N,Library loading error.
25,2.0.1,N,Library loading error.
26,2.1.0,N,Library loading error.
27,2.1.1,N,Library loading error.
28,2.1.2,N,Library loading error.
29,2.1.3,N,Library loading error.
30,2.1.4,N,Library loading error.
31,2.2.0,N,Library loading error.
32,2.2.1,N,Library loading error.
33,3.0.0,N,Library loading error.
34,3.0.1,N,Library loading error.
35,3.0.2,N,Library loading error.
36,3.0.3,N,Library loading error.
37,3.0.4,N,Library loading error.
38,3.1.0,N,Library loading error.
39,3.1.1,N,Library loading error.
40,3.2.0,N,Library loading error.
41,3.3.0,N,Library loading error.
42,3.3.1,N,Library loading error.
43,3.4.0,N,Library loading error.
44,3.4.1,N,Library loading error.
45,3.4.2,N,Library loading error.
46,3.4.3,N,Library loading error.
47,3.4.4,N,Library loading error.
48,3.5.0,N,Library loading error.
49,3.5.1,N,Library loading error.
50,3.5.2,N,Library loading error.
51,3.5.3,N,Library loading error.
52,3.5.4,N,Library loading error.
53,3.5.5,N,Library loading error.
54,3.6.0,N,Library loading error.
55,3.6.1,N,Library loading error.
56,3.6.2,N,Library loading error.
57,3.6.3,N,Library loading error.
58,3.6.4,N,Library loading error.
59,3.6.5,N,Library loading error.
60,3.7.0,N,Library loading error.
61,3.7.1,N,Library loading error.
62,3.7.2,N,Library loading error.
63,3.7.3,N,Library loading error.
64,3.7.4,N,Library loading error.
65,3.7.5,N,Library loading error.
66,3.7.6,N,Library loading error.
67,3.7.7,N,Library loading error.
