,Version,Success,Description
0,2.0.0,N,Library loading error.
1,2.0.1,N,Library loading error.
2,2.0.2,N,Library loading error.
3,2.0.3,N,Library loading error.
4,2.1.0,N,Library loading error.
5,2.1.1,N,Library loading error.
6,2.1.2,N,Library loading error.
7,2.1.3,N,Library loading error.
8,2.1.4,N,Library loading error.
9,2.2.0,N,Library loading error.
10,2.2.1,N,Library loading error.
11,2.2.10,N,Library loading error.
12,2.2.2,N,Library loading error.
13,2.2.3,N,Library loading error.
14,2.2.4,N,Library loading error.
15,2.2.5,N,Library loading error.
16,2.2.6,N,Library loading error.
17,2.2.7,N,Library loading error.
18,2.2.8,N,Library loading error.
19,2.2.9,N,Library loading error.
20,2.3.0,N,Library loading error.
21,2.3.1,N,Library loading error.
22,2.3.10,N,Library loading error.
23,2.3.11,N,Library loading error.
24,2.3.2,N,Library loading error.
25,2.3.3,N,Library loading error.
26,2.3.4,N,Library loading error.
27,2.3.5,N,Library loading error.
28,2.3.6,N,Library loading error.
29,2.3.7,N,Library loading error.
30,2.3.8,N,Library loading error.
31,2.4.0,N,Library loading error.
32,2.4.1,N,Library loading error.
33,3.0.0,Y,
34,3.0.1,Y,
35,3.1.0,Y,
36,3.1.0-beta,Y,
37,3.1.1,Y,
38,3.1.2,Y,
39,3.1.3,Y,
40,3.1.4,Y,
41,3.2.0-beta,Y,
42,3.2.0-beta-deprecated,Y,
