,Version,Success,Description
0,0.2.0,N,Library loading error.
1,0.2.3,N,Library loading error.
2,0.3.0,N,Library loading error.
3,0.4.0,N,Library loading error.
4,0.5.0,N,Library loading error.
5,0.5.1,N,Library loading error.
6,0.6.0,N,Library loading error.
7,0.6.1,N,Library loading error.
8,0.7.0,N,Library loading error.
9,0.7.1,N,Library loading error.
10,0.7.2,N,Library loading error.
11,0.8.0,N,Library loading error.
12,0.8.1,N,Library loading error.
13,0.8.2,N,Library loading error.
14,0.8.3,N,Library loading error.
15,1.0.0,N,Library loading error.
16,1.0.0-rc.0,N,Library loading error.
17,1.0.0-rc.1,N,Library loading error.
18,1.0.1,N,Library loading error.
19,1.1.0,N,Library loading error.
20,1.1.1,N,Library loading error.
21,1.1.2,N,Library loading error.
22,1.2.0,N,Library loading error.
23,1.2.1,N,Library loading error.
