,Version,Success,Description
0,1.5.0,N,Library loading error.
1,1.6.0,N,Library loading error.
2,1.7.0,N,Library loading error.
3,1.7.1,N,Library loading error.
4,1.7.2,N,Library loading error.
5,1.8.0,N,Library loading error.
6,1.8.1,N,Library loading error.
7,1.8.2,N,Library loading error.
8,1.8.3,N,Library loading error.
9,1.8.4,N,Library loading error.
10,1.8.5,N,Library loading error.
11,1.9.0,N,Library loading error.
12,1.9.1,N,Library loading error.
13,1.9.2,N,Library loading error.
14,1.9.3,N,Library loading error.
15,1.9.4,N,Library loading error.
16,1.9.5,N,Library loading error.
17,1.9.6,N,Library loading error.
18,1.9.7,N,Library loading error.
19,2.0.0-beta.1,Y,
20,2.0.0-beta.2,Y,
21,2.0.0-rc.1,Y,
22,2.0.0-rc.2,Y,
