,Version,Success,Description
0,0.1.8,Y,
1,0.2.0,Y,
2,0.2.1,Y,
3,0.2.2,Y,
4,0.2.3,Y,
5,0.2.4,Y,
6,0.3.0,Y,
7,0.3.1,Y,
8,0.3.2,Y,
9,0.3.3,Y,
10,0.3.4,Y,
11,0.3.5,Y,
12,0.3.6,Y,
13,0.3.7,Y,
14,0.3.8,Y,
15,0.3.9,Y,
16,0.4.0,Y,
17,0.4.1,Y,
18,0.4.2,Y,
19,1.10.0,Y,
20,1.10.1,Y,
21,1.10.1-rc2,Y,
22,1.10.2,Y,
23,1.10.3,Y,
24,1.11.0,Y,
25,1.12.0,Y,
26,1.13.0,Y,
27,1.13.1,Y,
28,1.13.11,Y,
29,1.13.13,Y,
30,1.13.2,Y,
31,1.13.3,Y,
32,1.13.4,Y,
33,1.13.5,Y,
34,1.13.6,Y,
35,1.13.7,Y,
36,1.13.8,Y,
37,1.14.0,Y,
38,1.14.1,Y,
39,1.14.10,Y,
40,1.14.11,Y,
41,1.14.2,Y,
42,1.14.3,Y,
43,1.14.4,Y,
44,1.14.5,Y,
45,1.14.6,Y,
46,1.14.7,Y,
47,1.14.8,Y,
48,1.14.9,Y,
49,1.2.0,Y,
50,1.3.0,Y,
51,1.3.1,Y,
52,1.3.2,Y,
53,1.3.3,Y,
54,1.3.4,Y,
55,1.4.0,Y,
56,1.4.1,Y,
57,1.4.2,Y,
58,1.5.1,Y,
59,1.5.10,Y,
60,1.5.2,Y,
61,1.5.3,Y,
62,1.5.4,Y,
63,1.5.5,Y,
64,1.5.6,Y,
65,1.5.7,Y,
66,1.5.8,Y,
67,1.5.9,Y,
68,1.6.0,Y,
69,1.6.1,Y,
70,1.6.10,Y,
71,1.6.11,Y,
72,1.6.12,Y,
73,1.6.14,Y,
74,1.6.2,Y,
75,1.6.3,Y,
76,1.6.4,Y,
77,1.6.5,Y,
78,1.6.6,Y,
79,1.6.7,Y,
80,1.6.8,Y,
81,1.6.9,Y,
82,1.7.1,Y,
83,1.7.2,Y,
84,1.7.3,Y,
85,1.7.4,Y,
86,1.7.5,Y,
87,1.8.0,Y,
88,1.8.0-rc10,Y,
89,1.8.0-rc11,Y,
90,1.8.0-rc12,Y,
91,1.8.0-rc13,Y,
92,1.8.0-rc14,Y,
93,1.8.0-rc2,Y,
94,1.8.0-rc3,Y,
95,1.8.0-rc4,Y,
96,1.8.0-rc5,Y,
97,1.8.0-rc6,Y,
98,1.8.0-rc7,Y,
99,1.8.0-rc8,Y,
100,1.8.0-rc9,Y,
101,1.8.1,Y,
102,1.8.10-beta1,Y,
103,1.8.10-beta2,Y,
104,1.8.10-beta3,Y,
105,1.8.10-beta4,Y,
106,1.8.10-beta5,Y,
107,1.8.10-beta6,Y,
108,1.8.3,Y,
109,1.8.3-rc1,Y,
110,1.8.3-rc2,Y,
111,1.8.3-rc3,Y,
112,1.8.4,Y,
113,1.8.5,Y,
114,1.8.6,Y,
115,1.8.7,Y,
116,1.8.8,Y,
117,1.8.9,Y,
118,1.9.0,Y,
119,1.9.0-beta1,Y,
120,1.9.0-beta2,Y,
121,1.9.0-beta3,Y,
122,1.9.0-beta4,Y,
123,1.9.0-beta5,Y,
124,1.9.1,Y,
