,Version,Success,Description
0,0.6,Y,
1,0.6.10,Y,
2,0.6.11,Y,
3,0.6.12,Y,
4,0.6.13,Y,
5,0.6.14,Y,
6,0.6.15,Y,
7,0.6.16,Y,
8,0.6.17,Y,
9,0.6.18,Y,
10,0.6.19,Y,
11,0.6.9,Y,
12,0.7.0,Y,
13,0.7.1,Y,
14,0.7.10,Y,
15,0.7.11,Y,
16,0.7.12,Y,
17,0.7.13,Y,
18,0.7.14,Y,
19,0.7.15,Y,
20,0.7.16,Y,
21,0.7.17,Y,
22,0.7.18,Y,
23,0.7.19,Y,
24,0.7.2,Y,
25,0.7.20,Y,
26,0.7.21,Y,
27,0.7.22,Y,
28,0.7.23,Y,
29,0.7.24,Y,
30,0.7.25,Y,
31,0.7.26,Y,
32,0.7.27,Y,
33,0.7.28,Y,
34,0.7.3,Y,
35,0.7.4,Y,
36,0.7.5,Y,
37,0.7.6,Y,
38,0.7.7,Y,
39,0.7.8,Y,
40,0.7.9,Y,
41,1.0.0,Y,
42,1.1.0,Y,
43,1.1.0-beta.0,Y,
44,1.1.0-beta.1,Y,
45,1.1.0-beta.2,Y,
46,1.1.0-beta.3,Y,
47,1.1.0-beta.4,Y,
48,1.2.0,Y,
49,1.2.1,Y,
50,1.3.0,Y,
51,1.3.1,Y,
52,1.3.2,Y,
53,1.3.3,Y,
54,1.3.4,Y,
55,1.3.5,Y,
56,1.4.0-beta.0,Y,
57,2.0.0,N,Library loading error.
58,2.0.0-alpha.0,N,Library loading error.
59,2.0.0-alpha.1,N,Library loading error.
60,2.1.0,N,Library loading error.
61,2.10.0,Y,
62,2.10.1,Y,
63,2.11.0,Y,
64,2.12.0,Y,
65,2.13.0,Y,
66,2.13.1,Y,
67,2.2.0,Y,
68,2.2.1,Y,
69,2.3.0,Y,
70,2.4.0,Y,
71,2.5.0,Y,
72,2.5.1,Y,
73,2.5.2,Y,
74,2.5.3,Y,
75,2.5.4,Y,
76,2.6.0,Y,
77,2.6.1,Y,
78,2.7.0,Y,
79,2.8.0,Y,
80,2.9.0,Y,
81,2.9.0-beta.0,Y,
82,2.9.0-beta.1,Y,
83,2.9.1,Y,
