,Version,Success,Description
0,0.1.10,Y,
1,0.1.11,Y,
2,0.1.12,Y,
3,0.1.13,Y,
4,0.1.14,Y,
5,0.1.15,Y,
6,0.1.16,Y,
7,0.1.17,Y,
8,0.1.18,Y,
9,0.1.19,Y,
10,0.1.20,Y,
11,0.1.21,Y,
12,0.1.22,Y,
13,0.1.23,Y,
14,0.1.24,Y,
15,0.1.25,Y,
16,0.1.26,Y,
17,0.1.27,Y,
18,0.1.28,Y,
19,0.1.29,Y,
20,0.1.30,Y,
21,0.1.31,Y,
22,0.1.32,Y,
23,0.1.33,Y,
24,0.1.34,Y,
25,0.1.35,Y,
26,0.1.36,Y,
27,0.1.37,Y,
28,0.1.38,Y,
29,0.1.39,Y,
30,0.1.40,Y,
31,0.1.41,Y,
32,0.1.42,Y,
33,0.1.43,Y,
34,0.2.2,Y,
35,0.2.3,Y,
36,0.2.4,Y,
37,0.2.5,Y,
38,0.3.10,N,Library loading error.
39,0.3.11,N,Library loading error.
40,0.3.6,Y,
41,0.3.7,N,Library loading error.
42,0.3.8,N,Library loading error.
43,0.3.9,N,Library loading error.
44,0.4.0,N,Library loading error.
45,0.4.1,N,Library loading error.
46,0.5.0,N,Library loading error.
47,0.6.0,Y,
