,Version,Success,Description
0,0.9.0,N,Library loading error.
1,0.9.0rc1,Y,
2,1.0.106,Y,
3,1.0.115,Y,
4,1.0.116,Y,
5,1.0.119,Y,
6,1.0.138,Y,
7,1.0.150,Y,
8,1.0.178,Y,
9,1.0.272,Y,
10,1.1.135,N,Library loading error.
11,1.2.60,N,Library loading error.
12,1.2.61,N,Unknown fault.
13,1.3.0,Y,
14,1.3.1,Y,
15,1.3.2,Y,
16,1.3.3,Y,
17,1.3.4,Y,
18,1.3.5,Y,
19,1.4.0,Y,
20,1.4.1,Y,
21,1.5.0,Y,
22,1.5.1,Y,
23,1.5.2,Y,
24,1.5.3,Y,
25,"2,1,0",N,Library loading error.
26,2.0.0,N,Library loading error.
27,2.1.1,N,Library loading error.
28,2.2.0,N,Library loading error.
29,2.3.0,N,Library loading error.
30,2.3.1,N,Library loading error.
31,2.4.0,N,Library loading error.
32,2.5.0,N,Library loading error.
33,2.5.1,N,Library loading error.
