,Version,Success,Description
0,0.1.0,N,Library loading error.
1,0.1.1,N,Library loading error.
2,0.2.0,Y,
3,0.2.1,Y,
4,1.0.0,Y,
5,1.0.1,Y,
6,2.0.0,Y,
7,2.1.0,Y,
8,2.1.1,Y,
9,2.2.0,Y,
10,2.2.1,Y,
11,2.2.2,Y,
12,2.3.0,Y,
13,2.4.0,Y,
14,2.5.0,Y,
15,2.6.0,Y,
16,2.6.1,Y,
17,3.0.0,Y,
18,3.1.0,Y,
19,3.1.1,Y,
20,3.1.2,Y,
21,3.1.3,Y,
22,3.1.4,Y,
23,3.1.5,Y,
24,3.10.0,Y,
25,3.10.1,Y,
26,3.2.0,Y,
27,3.2.1,Y,
28,3.2.2,Y,
29,3.3.0,Y,
30,3.4.0,Y,
31,3.5.0,Y,
32,3.6.0,Y,
33,3.7.0,Y,
34,3.7.1,Y,
35,3.8.0,Y,
36,3.9.0,Y,
37,3.9.1,Y,
