,Version,Success,Description
0,1.3.61,Y,
1,1.3.70,Y,
2,1.3.70-eap-184,Y,
3,1.3.70-eap-185,Y,
4,1.3.70-eap-274,Y,
5,1.3.70-eap-42,Y,
6,1.3.70-eap-47,Y,
7,1.3.71,Y,
8,1.3.72,Y,
9,1.4.0,Y,
10,1.4.0-M1,Y,
11,1.4.0-M2,Y,
12,1.4.0-M3,Y,
13,1.4.0-rc,Y,
14,1.4.10,Y,
15,1.4.20,Y,
16,1.4.20-M1,Y,
17,1.4.20-M2,Y,
18,1.4.20-RC,Y,
19,1.4.21,Y,
20,1.4.30,Y,
21,1.4.30-M1,Y,
22,1.4.30-RC,Y,
23,1.4.31,Y,
24,1.4.32,Y,
25,1.5.0,Y,
26,1.5.0-M1,Y,
27,1.5.0-M2,Y,
28,1.5.0-RC,Y,
29,1.5.10,Y,
30,1.5.20,Y,
31,1.5.20-M1,Y,
32,1.5.20-RC,Y,
33,1.5.21,Y,
34,1.5.30,Y,
35,1.5.30-M1,Y,
36,1.5.30-RC,Y,
37,1.5.31,Y,
38,1.5.32,Y,
39,1.6.0,Y,
40,1.6.0-M1,Y,
41,1.6.0-RC,Y,
42,1.6.0-RC2,Y,
43,1.6.0-dev-2261,Y,
44,1.6.10,Y,
45,1.6.10-RC,Y,
46,1.6.20,Y,
47,1.6.20-M1,Y,
48,1.6.20-RC,Y,
49,1.6.20-RC2,Y,
50,1.6.21,Y,
51,1.7.0,Y,
52,1.7.0-Beta,Y,
53,1.7.0-RC,Y,
54,1.7.0-RC2,Y,
55,1.7.10,Y,
56,1.7.20,Y,
57,1.7.20-Beta,Y,
58,1.7.20-RC,Y,
59,1.7.21,Y,
60,1.7.22,Y,
61,1.8.0,Y,
62,1.8.0-Beta,Y,
63,1.8.0-RC,Y,
64,1.8.0-RC2,Y,
65,1.8.10,Y,
66,1.8.20,Y,
67,1.8.20-Beta,Y,
68,1.8.20-RC,Y,
69,1.8.20-RC2,Y,
70,1.8.21,Y,
71,1.8.22,Y,
72,1.9.0,Y,
73,1.9.0-Beta,Y,
74,1.9.0-RC,Y,
75,1.9.10,Y,
76,1.9.20,Y,
77,1.9.20-Beta,Y,
78,1.9.20-Beta2,Y,
79,1.9.20-RC,Y,
80,1.9.20-RC2,Y,
81,1.9.21,Y,
82,1.9.22,Y,
