,Version,Success,Description
0,0.2,N,Library loading error.
1,0.3.0,N,Library loading error.
2,0.4.0,N,Library loading error.
3,0.5.0,N,Library loading error.
4,1.0.0,N,Library loading error.
5,1.0.0-rc.1,N,Library loading error.
6,1.0.0-rc.1.0,N,Library loading error.
7,1.0.1,N,Library loading error.
8,1.0.2,N,Library loading error.
9,1.0.3,N,Library loading error.
10,1.0.4,N,Library loading error.
11,1.0.5,N,Library loading error.
12,1.0.6,N,Library loading error.
13,1.1.0,N,Library loading error.
14,1.2.0,N,Library loading error.
15,1.3.0,N,Library loading error.
16,1.4.0,N,Library loading error.
17,1.4.1,N,Library loading error.
18,1.5.0,N,Library loading error.
19,1.5.1,N,Library loading error.
20,1.5.2,N,Library loading error.
21,1.5.3,N,Library loading error.
