,Version,Success,Description
0,1.0.41,Y,
1,1.1.0,Y,
2,1.1.1,Y,
3,1.1.2,Y,
4,1.1.3,Y,
5,1.1.4,Y,
6,1.1.5,Y,
7,1.1.6,Y,
8,1.2.0,Y,
9,1.2.1,Y,
10,1.2.2,Y,
11,1.3.0,Y,
12,1.3.1,Y,
13,1.3.2,Y,
14,1.3.3,Y,
15,1.4.0,Y,
16,1.4.1,Y,
17,1.4.2,Y,
18,1.5.0,Y,
19,1.5.1,Y,
20,1.6.0,Y,
21,1.6.1,Y,
22,1.6.2,Y,
23,1.6.3,Y,
24,1.7.0,Y,
25,1.7.1,Y,
26,1.7.2,Y,
27,1.7.3,Y,
28,1.7.4,Y,
29,1.7.5,Y,
30,2.0.0,Y,
31,2.0.0-b1,Y,
32,2.0.0-b2,Y,
33,2.0.0-b3,Y,
34,2.1.0,Y,
35,2.1.1,Y,
36,2.1.2,Y,
37,2.2.0,Y,
38,2.3.0,Y,
39,2.3.1,Y,
40,2.4.0,Y,
41,2.5.0,Y,
42,2.5.1,Y,
43,2.5.2,Y,
44,2.5.3,Y,
45,2.6.0,N,Unknown fault.
46,2.6.1,N,Unknown fault.
47,2.7.0,Y,
48,2.7.1,Y,
49,2.7.2,Y,
50,2.7.3,Y,
51,3.0.0,Y,
52,3.0.0-RC.1,Y,
53,3.0.0-RC.2,Y,
54,3.0.0-alpha.1,Y,
55,3.0.0-alpha.2,Y,
56,3.0.0-alpha.3,Y,
57,3.0.0-alpha.4,Y,
58,3.0.0-pre.1,Y,
59,3.0.0-pre.2,Y,
60,3.0.0-pre.3,Y,
61,3.0.0-pre.4,Y,
62,3.0.1,Y,
63,3.0.2,Y,
64,3.0.4,Y,
65,3.10.0,Y,
66,3.10.0-beta,Y,
67,3.10.0-beta.2,Y,
68,3.10.1,Y,
69,3.10.2,Y,
70,3.10.3,Y,
71,3.11.0,Y,
72,3.11.1,Y,
73,3.11.2,Y,
74,3.11.3,Y,
75,3.12.0,Y,
76,3.12.1,Y,
77,3.12.1-alpha.12,Y,
78,3.12.1-alpha.13,Y,
79,3.12.2,Y,
80,3.13.0,Y,
81,3.13.0-alpha.10,Y,
82,3.13.0-alpha.12,Y,
83,3.13.0-alpha.2,Y,
84,3.13.0-alpha.3,Y,
85,3.13.1,Y,
86,3.13.1-alpha.1,Y,
87,3.13.1-next.1,Y,
88,3.5.0,Y,
89,3.5.0-beta,Y,
90,3.5.0-beta.2,Y,
91,3.5.0-beta.3,Y,
92,3.5.0-beta.4,Y,
93,3.5.0-beta.5,Y,
94,3.5.0-beta.6,Y,
95,3.5.0-beta.7,Y,
96,3.5.1,Y,
97,3.5.2,Y,
98,3.5.3,Y,
99,3.6.0,Y,
100,3.7.0,Y,
101,3.7.1,Y,
102,3.8.0,Y,
103,3.8.1,Y,
104,3.9.0,Y,
105,4.0.0,Y,
106,4.0.1-alpha.0,Y,
107,4.0.1-alpha.2,Y,
108,4.1.0,Y,
109,4.1.1,Y,
110,4.1.2,Y,
111,4.1.3,Y,
112,4.2.0,Y,
