,Version,Success,Description
0,0.0.1,Y,
1,0.1.0,Y,
2,0.1.1,Y,
3,0.2.0,Y,
4,0.3.0,Y,
5,0.3.1,Y,
6,0.6.0,Y,
7,0.6.1,Y,
8,0.6.2,Y,
9,0.7.0,Y,
10,0.8.0,Y,
11,0.8.1,Y,
12,0.9.0,Y,
13,0.9.1,Y,
14,0.9.2,Y,
15,0.9.3,Y,
16,1.0.0,Y,
17,1.0.1,Y,
18,1.0.2,Y,
19,1.0.3,Y,
20,1.0.4,Y,
21,1.1.0,Y,
22,1.1.1,Y,
23,1.10.0,Y,
24,1.2.0,Y,
25,1.2.1,Y,
26,1.2.10,Y,
27,1.2.2,Y,
28,1.2.3,Y,
29,1.2.4,Y,
30,1.2.6,Y,
31,1.2.7,Y,
32,1.2.8,Y,
33,1.2.9,Y,
34,1.3.0,Y,
35,1.3.1,Y,
36,1.3.2,Y,
37,1.3.3,Y,
38,1.4.0,Y,
39,1.4.1,Y,
40,1.4.2,Y,
41,1.4.3,Y,
42,1.5.0,Y,
43,1.5.1,Y,
44,1.5.2,Y,
45,1.5.3,Y,
46,1.5.4,Y,
47,1.5.5,Y,
48,1.5.6,Y,
49,1.5.7,Y,
50,1.6.0,Y,
51,1.7.0,Y,
52,1.7.1,Y,
53,1.7.2,Y,
54,1.7.3,Y,
55,1.7.4,Y,
56,1.8.0,Y,
57,1.8.1,Y,
58,1.9.0,Y,
