,Version,Success,Description
0,0.1.0,Y,
1,0.10.0,Y,
2,0.2.0,Y,
3,0.2.1,Y,
4,0.2.2,Y,
5,0.3.0,Y,
6,0.3.1,Y,
7,0.3.2,Y,
8,0.4.0,Y,
9,0.4.1,Y,
10,0.4.2,Y,
11,0.5.0,Y,
12,0.5.1,Y,
13,0.5.2,Y,
14,0.6.0,Y,
15,0.6.1,Y,
16,0.7.0,Y,
17,0.8.0,Y,
18,0.8.1,Y,
19,0.8.2,Y,
20,0.9.0,Y,
21,0.9.1,Y,
22,0.9.2,Y,
23,1.0.0,Y,
24,1.0.0-rc.1,Y,
25,1.0.0-rc.2,Y,
26,1.0.0-rc.3,Y,
27,1.0.1,Y,
28,1.0.2,Y,
29,1.1.0,Y,
30,1.1.1,Y,
31,1.2.0,Y,
32,1.2.1,Y,
33,1.3.0,Y,
34,1.3.1,Y,
35,2.0.0,Y,
36,2.1.0,Y,
37,2.2.0,Y,
38,2.2.1,Y,
39,2.3.0,Y,
40,2.4.0,Y,
41,2.4.1,Y,
42,2.4.2,Y,
43,3.0.0,Y,
44,3.0.1,Y,
45,3.1.0,Y,
46,3.10.0,Y,
47,3.10.1,Y,
48,3.2.0,Y,
49,3.3.0,Y,
50,3.3.1,Y,
51,3.4.0,Y,
52,3.5.0,Y,
53,3.6.0,Y,
54,3.7.0,Y,
55,3.8.0,Y,
56,3.9.0,Y,
57,3.9.2,Y,
58,3.9.3,Y,
59,4.0.0,Y,
60,4.0.1,Y,
61,4.1.0,Y,
62,4.10.0,Y,
63,4.11.0,Y,
64,4.11.1,Y,
65,4.11.2,Y,
66,4.12.0,Y,
67,4.12.0-amd,Y,
68,4.13.0,Y,
69,4.13.1,Y,
70,4.14.0,Y,
71,4.14.1,Y,
72,4.14.2,Y,
73,4.15.0,Y,
74,4.16.0,Y,
75,4.16.1,Y,
76,4.16.2,Y,
77,4.16.3,Y,
78,4.16.4,Y,
79,4.16.5,Y,
80,4.16.6,Y,
81,4.17.0,Y,
82,4.17.1,Y,
83,4.17.10,Y,
84,4.17.11,Y,
85,4.17.12,Y,
86,4.17.12-pre,Y,
87,4.17.13,Y,
88,4.17.14,Y,
89,4.17.15,Y,
90,4.17.16,Y,
91,4.17.19,Y,
92,4.17.2,Y,
93,4.17.20,Y,
94,4.17.21,Y,
95,4.17.3,Y,
96,4.17.4,Y,
97,4.17.5,Y,
98,4.17.9,Y,
99,4.2.0,Y,
100,4.2.1,Y,
101,4.3.0,Y,
102,4.4.0,Y,
103,4.5.0,Y,
104,4.5.1,Y,
105,4.6.0,Y,
106,4.6.1,Y,
107,4.7.0,Y,
108,4.8.0,Y,
109,4.8.1,Y,
110,4.8.2,Y,
111,4.9.0,Y,
