,Version,Success,Description
0,5.10.0,Y,
1,5.10.1,Y,
2,5.10.2,Y,
3,5.11.0,Y,
4,5.12.0,Y,
5,5.12.1,Y,
6,5.12.2,Y,
7,5.5.10,Y,
8,5.6.0,Y,
9,5.6.10,Y,
10,5.6.2,Y,
11,5.6.3,Y,
12,5.6.4,Y,
13,5.6.5,Y,
14,5.6.6,Y,
15,5.6.7,Y,
16,5.6.8,Y,
17,5.7.0,Y,
18,5.7.1,Y,
19,5.7.10,Y,
20,5.7.11,Y,
21,5.7.12,Y,
22,5.7.13,Y,
23,5.7.14,Y,
24,5.7.2,Y,
25,5.7.3,Y,
26,5.7.4,Y,
27,5.7.5,Y,
28,5.7.6,Y,
29,5.7.7,Y,
30,5.7.8,Y,
31,5.7.9,Y,
32,5.8.0,Y,
33,5.8.1,Y,
34,5.9.0,Y,
35,5.9.1,Y,
36,5.9.2,Y,
37,5.9.3,Y,
38,5.9.4,Y,
39,5.9.5,Y,
40,5.9.6,Y,
