,Version,Success,Description
0,0.2.0,Y,
1,0.2.1,Y,
2,0.2.2,Y,
3,0.2.3,Y,
4,0.3.0,Y,
5,0.3.1,Y,
6,0.3.2,Y,
7,0.3.3,Y,
8,0.4.0,Y,
9,0.4.1,Y,
10,0.4.2,Y,
11,0.4.3,Y,
12,0.4.4,Y,
13,0.4.5,Y,
14,0.5.10,Y,
15,0.5.11,Y,
16,0.5.12,Y,
17,0.5.2,Y,
18,0.5.3,Y,
19,0.5.4,Y,
20,0.5.5,Y,
21,0.5.6,Y,
22,0.5.7,Y,
23,0.5.8,Y,
24,0.5.9,Y,
25,0.6.0,Y,
26,0.7.0,Y,
27,0.7.1,Y,
28,0.7.2,Y,
29,1.0.0,Y,
30,2.0.0,Y,
31,2.0.0-alpha.1,Y,
32,2.0.0-alpha.2,Y,
33,2.0.0-alpha.3,Y,
34,2.0.0-alpha.4,Y,
35,2.0.0-alpha.5,Y,
36,2.0.1,Y,
37,2.0.2,Y,
38,2.0.3,Y,
39,2.0.4,Y,
40,2.1.0,Y,
41,2.1.0-alpha.1,Y,
42,2.1.0-alpha.2,Y,
43,2.1.1,Y,
44,2.1.2,Y,
45,2.1.3,Y,
46,2.1.4,Y,
47,2.1.5,Y,
48,2.1.6,Y,
49,2.2.0,Y,
50,2.2.0-alpha.1,Y,
51,2.2.0-alpha.2,Y,
52,2.2.1,Y,
53,2.3.0,Y,
54,2.3.1,Y,
55,2.3.2,Y,
56,2.3.3,Y,
57,2.3.4,Y,
58,2.3.5,Y,
59,2.3.6,Y,
60,2.3.7,Y,
61,2.3.8,Y,
62,2.3.9,Y,
