,Version,Success,Description
0,0.10.0,Y,
1,0.11.0,Y,
2,0.11.1,Y,
3,0.11.2,Y,
4,0.11.3,Y,
5,0.11.4,Y,
6,0.11.5,Y,
7,0.12.0,Y,
8,0.12.1,Y,
9,0.12.2,Y,
10,0.12.3,Y,
11,0.12.4,Y,
12,0.13.1,Y,
13,0.14.0,Y,
14,0.14.1,Y,
15,0.14.2,Y,
16,0.14.3,Y,
17,0.15.0,Y,
18,0.16.0,Y,
19,0.17.0,Y,
20,0.18.0,Y,
21,0.19.0,Y,
22,0.19.1,Y,
23,0.20.0,Y,
24,0.20.1,Y,
25,0.21.0,Y,
26,0.22.0,Y,
27,0.22.1,Y,
28,0.23.0,Y,
29,0.24.0,Y,
30,0.25.0,Y,
31,0.25.1,Y,
32,0.26.0,Y,
33,0.27.0,Y,
34,0.28.0,Y,
35,0.29.0,Y,
36,0.3.1,Y,
37,0.3.2,Y,
38,0.30.0,Y,
39,0.31.0,Y,
40,0.32.0,Y,
41,0.32.1,Y,
42,0.33.0,Y,
43,0.33.1,Y,
44,0.34.0,Y,
45,0.35.0,Y,
46,0.35.1,Y,
47,0.36.0,Y,
48,0.37.0,Y,
49,0.38.0,Y,
50,0.39.0,Y,
51,0.39.1,Y,
52,0.4.0,Y,
53,0.4.1,Y,
54,0.4.2,Y,
55,0.40.0,Y,
56,0.40.1,Y,
57,0.41.0,Y,
58,0.42.0,Y,
59,0.42.1,Y,
60,0.42.2,Y,
61,0.43.0,Y,
62,0.43.0-beta.1,Y,
63,0.44.0,Y,
64,0.44.1,Y,
65,0.44.2,Y,
66,0.45.0,Y,
67,0.45.0-beta.1,Y,
68,0.46.0,Y,
69,0.46.0-beta.1,Y,
70,0.47.0,Y,
71,0.47.0-beta.1,Y,
72,0.48.0,Y,
73,0.49.0,Y,
74,0.49.0-beta.1,Y,
75,0.5.0,Y,
76,0.5.1,Y,
77,0.5.2,Y,
78,0.50.0,Y,
79,0.50.0-beta.1,Y,
80,0.51.0,Y,
81,0.51.0-beta.2,Y,
82,0.52.0,Y,
83,0.52.0-beta.1,Y,
84,0.52.0-beta.2,Y,
85,0.53.0,Y,
86,0.53.0-beta.1,Y,
87,0.53.1,Y,
88,0.54.0,Y,
89,0.54.0-beta.1,Y,
90,0.54.0-beta.2,Y,
91,0.6.0,Y,
92,0.7.0,Y,
93,0.8.0,Y,
94,0.8.1,Y,
95,0.8.2,Y,
96,0.9.0,Y,
97,1.0.0,Y,
98,1.1.0,Y,
99,1.1.0-beta.1,Y,
100,1.10.0,Y,
101,1.10.0-beta.1,Y,
102,1.10.1,Y,
103,1.11.0,Y,
104,1.11.0-beta.1,Y,
105,1.11.1,Y,
106,1.12.0,Y,
107,1.12.0-beta.1,Y,
108,1.13.0,Y,
109,1.13.1,Y,
110,1.13.2,Y,
111,1.13.3,Y,
112,1.2.0,Y,
113,1.2.0-beta.1,Y,
114,1.2.1,Y,
115,1.3.0,Y,
116,1.3.0-beta.1,Y,
117,1.3.1,Y,
118,1.3.2,Y,
119,1.4.0,Y,
120,1.4.0-beta.1,Y,
121,1.4.0-beta.2,Y,
122,1.4.1,Y,
123,1.7.0,Y,
124,1.8.0,Y,
125,1.8.1,Y,
126,1.9.0,Y,
127,1.9.1,Y,
128,2.0.0,Y,
129,2.0.1,Y,
130,2.1.0,Y,
131,2.1.0-beta.1,Y,
132,2.1.1,Y,
133,2.10.0,Y,
134,2.10.0-beta.1,Y,
135,2.11.0,Y,
136,2.11.0-beta.1,Y,
137,2.11.0-beta.2,Y,
138,2.11.1,Y,
139,2.11.1-beta.1,Y,
140,2.12.0,Y,
141,2.12.0-beta.1,Y,
142,2.12.1,Y,
143,2.13.0,Y,
144,2.13.0-beta.1,Y,
145,2.13.0-dev,Y,
146,2.14.0,Y,
147,2.14.0-beta.1,Y,
148,2.14.1,Y,
149,2.15.0,Y,
150,2.15.0-beta.1,Y,
151,2.2.0,Y,
152,2.2.0-beta.1,Y,
153,2.3.0,Y,
154,2.3.0-beta.1,Y,
155,2.3.1,Y,
156,2.4.0,Y,
157,2.4.0-beta.1,Y,
158,2.4.1,Y,
159,2.5.0,Y,
160,2.5.0-beta.1,Y,
161,2.5.1,Y,
162,2.6.0,Y,
163,2.6.0-beta.1,Y,
164,2.6.0-beta.2,Y,
165,2.6.1,Y,
166,2.7.0,Y,
167,2.7.0-alpha.1,Y,
168,2.7.0-alpha.2,Y,
169,2.7.0-beta.1,Y,
170,2.7.1,Y,
171,2.8.0,Y,
172,2.8.0-alpha.1,Y,
173,2.8.0-alpha.2,Y,
174,2.8.0-alpha.3,Y,
175,2.8.0-alpha.4,Y,
176,2.8.0-beta.1,Y,
177,2.8.1,Y,
178,2.8.2,Y,
179,2.9.0,Y,
180,2.9.0-alpha.1,Y,
181,2.9.0-beta.1,Y,
182,2.9.0-beta.2,Y,
183,2.9.1,Y,
184,2.9.2,Y,
185,3.0.0,Y,
186,3.0.0-beta.1,Y,
187,3.0.0-beta.2,Y,
188,3.0.0-beta.3,Y,
189,3.0.0-beta.4,Y,
190,3.0.0-beta.5,Y,
191,3.0.0-rc.1,Y,
192,3.0.0-rc.2,Y,
193,3.0.1,Y,
