,Version,Success,Description
0,0.45.0,N,Library loading error.
1,0.45.1,N,Library loading error.
2,0.46.0,N,Library loading error.
3,0.47.0,N,Library loading error.
4,0.47.1,N,Library loading error.
5,0.47.2,N,Library loading error.
6,0.47.3,N,Library loading error.
7,0.47.4,N,Library loading error.
8,0.47.5,N,Library loading error.
9,0.48.0,N,Library loading error.
10,0.49.0,N,Library loading error.
11,0.49.1,N,Library loading error.
12,0.49.2,N,Library loading error.
13,0.49.3,N,Library loading error.
14,0.49.4,N,Library loading error.
15,0.49.5,N,Library loading error.
16,1.0.0-alpha-19,N,Library loading error.
17,1.0.0-alpha.10,N,Library loading error.
18,1.0.0-alpha.11,N,Library loading error.
19,1.0.0-alpha.12,N,Library loading error.
20,1.0.0-alpha.13,N,Library loading error.
21,1.0.0-alpha.14,N,Library loading error.
22,1.0.0-alpha.15,N,Library loading error.
23,1.0.0-alpha.16,N,Library loading error.
24,1.0.0-alpha.17,N,Library loading error.
25,1.0.0-alpha.18,N,Library loading error.
26,1.0.0-alpha.19,N,Library loading error.
27,1.0.0-alpha.2,N,Library loading error.
28,1.0.0-alpha.20,N,Library loading error.
29,1.0.0-alpha.21,N,Library loading error.
30,1.0.0-alpha.22,N,Library loading error.
31,1.0.0-alpha.23,N,Library loading error.
32,1.0.0-alpha.24,N,Library loading error.
33,1.0.0-alpha.25,N,Library loading error.
34,1.0.0-alpha.26,N,Library loading error.
35,1.0.0-alpha.27,N,Library loading error.
36,1.0.0-alpha.28,N,Library loading error.
37,1.0.0-alpha.3,N,Library loading error.
38,1.0.0-alpha.4,N,Library loading error.
39,1.0.0-alpha.5,N,Library loading error.
40,1.0.0-alpha.6,N,Library loading error.
41,1.0.0-alpha.7,N,Library loading error.
42,1.0.0-alpha.8,N,Library loading error.
43,1.0.0-alpha.9,N,Library loading error.
44,1.0.0-beta.1,N,Library loading error.
45,1.0.0-beta.10,N,Library loading error.
46,1.0.0-beta.2,N,Library loading error.
47,1.0.0-beta.3,N,Library loading error.
48,1.0.0-beta.4,N,Library loading error.
49,1.0.0-beta.5,N,Library loading error.
50,1.0.0-beta.6,N,Library loading error.
51,1.0.0-beta.7,N,Library loading error.
52,1.0.0-beta.8,N,Library loading error.
53,1.0.0-beta.9,N,Library loading error.
54,1.0.0-rc.1,N,Library loading error.
55,1.0.0-rc.10,N,Library loading error.
56,1.0.0-rc.11,N,Library loading error.
57,1.0.0-rc.12,N,Library loading error.
58,1.0.0-rc.13,N,Library loading error.
59,1.0.0-rc.14,N,Library loading error.
60,1.0.0-rc.15,N,Library loading error.
61,1.0.0-rc.16,N,Library loading error.
62,1.0.0-rc.17,N,Library loading error.
63,1.0.0-rc.18,N,Library loading error.
64,1.0.0-rc.19,N,Library loading error.
65,1.0.0-rc.2,N,Library loading error.
66,1.0.0-rc.20,N,Library loading error.
67,1.0.0-rc.21,N,Library loading error.
68,1.0.0-rc.22,N,Library loading error.
69,1.0.0-rc.23,N,Library loading error.
70,1.0.0-rc.24,N,Library loading error.
71,1.0.0-rc.25,N,Library loading error.
72,1.0.0-rc.26,N,Library loading error.
73,1.0.0-rc.27,N,Library loading error.
74,1.0.0-rc.28,N,Library loading error.
75,1.0.0-rc.3,N,Library loading error.
76,1.0.0-rc.4,N,Library loading error.
77,1.0.0-rc.5,N,Library loading error.
78,1.0.0-rc.6,N,Library loading error.
79,1.0.0-rc.7,N,Library loading error.
80,1.0.0-rc.8,N,Library loading error.
81,1.0.0-rc.9,N,Library loading error.
