,Version,Success,Description
0,10.0.0,Y,
1,11.0.0,Y,
2,11.0.1,Y,
3,12.0.0,Y,
4,12.0.1,Y,
5,12.0.2,Y,
6,12.0.3,Y,
7,12.0.4,Y,
8,12.0.5,Y,
9,12.0.6,Y,
10,12.1.0,Y,
11,12.2.0,Y,
12,12.3.0,Y,
13,12.3.1,Y,
14,12.3.2,Y,
15,13.0.0,Y,
16,13.0.1,Y,
17,13.0.2,Y,
18,14.0.0,Y,
19,2.0.0,Y,
20,2.1.0,Y,
21,2.1.1,Y,
22,2.1.2,Y,
23,2.1.3,Y,
24,2.2.0,Y,
25,2.2.1,Y,
26,3.0.0,Y,
27,3.0.1,Y,
28,3.0.2,Y,
29,3.0.3,Y,
30,3.0.4,Y,
31,3.0.5,Y,
32,3.0.6,Y,
33,3.0.7,Y,
34,3.1.0,Y,
35,4.0.0,Y,
36,4.0.1,Y,
37,4.0.2,Y,
38,4.0.3,Y,
39,4.1.0,Y,
40,4.1.1,Y,
41,4.1.2,Y,
42,4.2.0,Y,
43,4.2.1,Y,
44,4.2.2,Y,
45,4.3.0,Y,
46,4.3.1,Y,
47,4.4.0,Y,
48,5.0.0,Y,
49,5.0.1,Y,
50,5.0.2,Y,
51,5.0.3,Y,
52,5.1.0,Y,
53,6.0.0,Y,
54,6.0.1,Y,
55,6.0.2,Y,
56,6.0.3,Y,
57,6.0.4,Y,
58,6.0.5,Y,
59,6.1.0,Y,
60,6.1.1,Y,
61,7.0.0,Y,
62,7.0.1,Y,
63,8.0.0,Y,
64,8.0.1,Y,
65,8.1.0,Y,
66,8.2.0,Y,
67,8.2.1,Y,
68,8.2.2,Y,
69,8.3.0,Y,
70,8.3.1,Y,
71,8.3.2,Y,
72,8.4.0,Y,
73,8.4.1,Y,
74,8.4.2,Y,
75,9.0.0,Y,
76,9.0.1,Y,
77,9.1.0,Y,
