,Version,Success,Description
0,0.100.0,N,Library loading error.
1,0.100.1,N,Library loading error.
2,0.100.2,N,Library loading error.
3,0.62,N,Library loading error.
4,0.68,N,Library loading error.
5,0.69,N,Library loading error.
6,0.81,N,Library loading error.
7,0.82,N,Library loading error.
8,0.9,N,Library loading error.
9,0.91,N,Library loading error.
10,0.92.0,N,Library loading error.
11,0.92.1,N,Library loading error.
12,0.93.0,N,Library loading error.
13,0.93.1,N,Library loading error.
14,0.94.0,N,Library loading error.
15,0.94.1,N,Library loading error.
16,0.94.2,N,Library loading error.
17,0.95.0,N,Library loading error.
18,0.95.1,N,Library loading error.
19,0.95.2,N,Library loading error.
20,0.95.3,N,Library loading error.
21,0.96.0,N,Library loading error.
22,0.96.1,N,Library loading error.
23,0.97.0,N,Library loading error.
24,0.97.1,N,Library loading error.
25,0.97.2,N,Library loading error.
26,0.97.3,N,Library loading error.
27,0.97.4,N,Library loading error.
28,0.97.5,N,Library loading error.
29,0.97.6,N,Library loading error.
30,0.97.7,N,Library loading error.
31,0.97.8,N,Library loading error.
32,0.98.0,N,Library loading error.
33,0.98.1,N,Library loading error.
34,0.98.2,N,Library loading error.
35,0.99.0,N,Library loading error.
36,1.0.0,Y,
37,1.0.0-alpha.1,Y,
38,1.0.0-alpha.2,Y,
39,1.0.0-alpha.3,Y,
40,1.0.0-alpha.4,Y,
41,1.0.0-beta,Y,
42,1.0.0-rc.1,Y,
43,1.0.0-rc.2,Y,
