,Version,Success,Description
0,1.1,N,Library loading error.
1,1.1a,N,Library loading error.
2,2.0,N,Library loading error.
3,2.0.0,N,Library loading error.
4,2.1,N,Library loading error.
5,2.1.0,N,Library loading error.
6,2.2,N,Library loading error.
7,2.2.0,N,Library loading error.
8,2.3,N,Library loading error.
9,2.3.0,N,Library loading error.
10,2.4.0,N,Library loading error.
11,2.5.0,N,Library loading error.
12,2.5.1,N,Library loading error.
13,2.5.2,N,Library loading error.
14,2.5.3,N,Library loading error.
15,2.6.0,N,Library loading error.
16,2.6.0-beta.0,N,Library loading error.
17,2.6.0-beta.1,N,Library loading error.
18,2.6.0-beta.2,N,Library loading error.
19,2.6.1,N,Library loading error.
20,2.6.1-rc.1,N,Library loading error.
21,2.7.0,N,Library loading error.
22,2.7.0-beta.0,N,Library loading error.
23,2.7.1,N,Library loading error.
24,2.7.2,N,Library loading error.
25,2.7.2-beta.0,N,Library loading error.
26,2.7.2-beta.1,N,Library loading error.
27,2.7.2-rc,N,Library loading error.
28,2.7.3,N,Library loading error.
29,2.7.4,N,Library loading error.
30,2.7.5,N,Library loading error.
31,2.7.6,N,Library loading error.
32,2.7.7,N,Library loading error.
33,2.7.9,N,Library loading error.
34,3.0.1,N,Library loading error.
35,3.0.4,N,Library loading error.
36,3.0.5,N,Library loading error.
37,3.1.0,N,Library loading error.
38,3.1.1,N,Library loading error.
39,3.1.2,N,Library loading error.
40,3.1.3,N,Library loading error.
41,3.1.4,N,Library loading error.
42,3.2.0,N,Library loading error.
43,3.2.1,N,Library loading error.
44,3.2.2,N,Library loading error.
45,4.0.0-alpha.1,N,Library loading error.
46,4.0.0-beta.3,Y,
47,4.0.0-beta.4,Y,
