,Version,Success,Description
0,1.0.0,Y,
1,1.0.0-alpha1,Y,
2,1.0.0-alpha2,Y,
3,1.0.0-alpha3,Y,
4,1.0.0-alpha4,Y,
5,1.0.0-beta1,Y,
6,1.0.0-beta2,Y,
7,1.1.0,Y,
8,1.2.0,Y,
9,2.0.0,Y,
10,2.1.0,Y,
11,2.2.0,Y,
12,2.2.1,Y,
13,3.0.0,Y,
14,3.1.0,Y,
15,3.10.0,Y,
16,3.10.1,Y,
17,3.10.2,Y,
18,3.11.0,Y,
19,3.2.0,Y,
20,3.3.0,Y,
21,3.4.0,Y,
22,3.5.0,Y,
23,3.5.1,Y,
24,3.6.0,Y,
25,3.8.0,Y,
26,3.8.1,Y,
27,3.9.0,Y,
28,4.0.0,Y,
29,4.1.0,Y,
30,4.2.0,Y,
31,4.3.0,Y,
32,4.4.0,Y,
33,5.0.0,Y,
34,6.0.0,Y,
35,6.0.1,Y,
36,6.1.0,Y,
37,6.2.0,Y,
38,6.3.0,Y,
39,6.3.1,Y,
40,6.4.0,Y,
41,6.4.1,Y,
42,6.4.2,Y,
43,7.0.0,N,Library loading error.
44,7.1.0,N,Library loading error.
