,Version,Success,Description
0,1.0.0,Y,
1,1.0.1,Y,
2,1.0.2,Y,
3,1.0.3,Y,
4,1.1.0,Y,
5,1.1.1,Y,
6,1.1.2,Y,
7,1.1.3,Y,
8,1.1.4,Y,
9,1.1.5,Y,
10,1.1.6,Y,
11,1.2.0,Y,
12,1.2.1,Y,
13,1.2.2,Y,
14,1.3.0,Y,
15,1.3.1,Y,
16,1.3.5,Y,
17,1.4.0,Y,
18,1.4.5,Y,
19,1.5.0,Y,
20,1.5.3,Y,
21,1.5.4,Y,
22,1.6.0,Y,
23,1.6.1,Y,
24,1.6.5,Y,
25,1.6.7,Y,
26,1.7.0,Y,
27,1.7.1,Y,
28,1.7.2,Y,
29,1.7.3,Y,
30,1.7.5,Y,
31,1.8.0,Y,
32,1.8.14,Y,
33,1.8.5,Y,
34,1.8.6,Y,
35,1.8.8,Y,
36,1.9.0,Y,
37,1.9.10,Y,
38,1.9.13,Y,
39,1.9.4,Y,
40,1.9.7,Y,
41,1.9.8,Y,
42,2.0.0,Y,
43,2.1.0,Y,
44,2.1.2,Y,
45,2.1.3,Y,
46,2.2.0,Y,
47,2.3.0,Y,
48,2.4.0,Y,
49,2.4.1,Y,
50,2.4.2,Y,
51,2.4.3,Y,
52,2.4.4,Y,
53,2.4.5,Y,
54,2.4.6,Y,
55,3.0.0,Y,
56,3.0.7,Y,
57,3.0.8,Y,
58,3.0.9,Y,
59,4.0.0,Y,
60,4.0.1,Y,
61,4.0.2,Y,
62,4.0.3,Y,
63,4.1.0,Y,
64,4.1.1,Y,
65,4.10.0,Y,
66,4.10.1,Y,
67,4.10.2,Y,
68,4.11.0,Y,
69,4.11.1,Y,
70,4.12.0,Y,
71,4.12.1,Y,
72,4.12.10,Y,
73,4.12.11,Y,
74,4.12.12,Y,
75,4.12.2,Y,
76,4.12.3,Y,
77,4.12.4,Y,
78,4.12.5,Y,
79,4.12.6,Y,
80,4.12.7,Y,
81,4.12.8,Y,
82,4.12.9,Y,
83,4.2.0,Y,
84,4.3.0,Y,
85,4.4.0,Y,
86,4.5.0,Y,
87,4.5.1,Y,
88,4.5.2,Y,
89,4.6.0,Y,
90,4.7.0,Y,
91,4.7.1,Y,
92,4.7.2,Y,
93,4.7.3,Y,
94,4.8.0,Y,
95,4.8.1,Y,
96,4.9.0,Y,
97,5.0.0,Y,
98,5.0.0-alpha.0,Y,
99,5.0.0-rc.1,Y,
100,5.1.0,Y,
101,5.10.0,Y,
102,5.11.0,Y,
103,5.12.0,Y,
104,5.13.0,Y,
105,5.14.0,Y,
106,5.14.1,Y,
107,5.14.2,Y,
108,5.14.3,Y,
109,5.14.4,Y,
110,5.15.0,Y,
111,5.15.1,Y,
112,5.16.0,Y,
113,5.16.1,Y,
114,5.17.0,Y,
115,5.18.0,Y,
116,5.19.0,Y,
117,5.19.1,Y,
118,5.2.0,Y,
119,5.20.0,Y,
120,5.20.1,Y,
121,5.20.2,Y,
122,5.21.0,Y,
123,5.21.1,Y,
124,5.22.0,Y,
125,5.22.1,Y,
126,5.22.2,Y,
127,5.23.0,Y,
128,5.23.1,Y,
129,5.23.2,Y,
130,5.23.3,Y,
131,5.3.0,Y,
132,5.4.0,Y,
133,5.4.1,Y,
134,5.5.0,Y,
135,5.5.1,Y,
136,5.5.2,Y,
137,5.5.3,Y,
138,5.5.4,Y,
139,5.6.0,Y,
140,5.6.1,Y,
141,5.6.2,Y,
142,5.6.3,Y,
143,5.7.0,Y,
144,5.8.0,Y,
145,5.8.1,Y,
146,5.8.2,Y,
147,5.8.3,Y,
148,5.9.0,Y,
