,Version,Success,Description
0,0.2.0,N,Library loading error.
1,0.3.0,N,Library loading error.
2,0.4.0,N,Library loading error.
3,1.0.0,N,Library loading error.
4,1.0.0-next.0,N,Library loading error.
5,1.0.1,N,Library loading error.
6,1.0.2,N,Library loading error.
7,1.0.3,N,Library loading error.
8,1.0.4,N,Library loading error.
9,1.0.5,N,Library loading error.
10,1.0.6,N,Library loading error.
11,1.0.7,N,Library loading error.
12,1.0.8,N,Library loading error.
13,1.1.0,N,Library loading error.
