,Version,Success,Description
0,3.0.0,Y,
1,3.0.0-preview9.19424.4,Y,
2,3.0.0-rc1.19457.4,Y,
3,3.0.1,Y,
4,3.0.3,Y,
5,3.1.0,Y,
6,3.1.0-preview1.19508.20,Y,
7,3.1.0-preview2.19528.8,Y,
8,3.1.0-preview3.19555.2,Y,
9,3.1.10,Y,
10,3.1.11,Y,
11,3.1.12,Y,
12,3.1.13,Y,
13,3.1.14,Y,
14,3.1.15,Y,
15,3.1.16,Y,
16,3.1.17,Y,
17,3.1.18,Y,
18,3.1.19,Y,
19,3.1.2,Y,
20,3.1.20,Y,
21,3.1.21,Y,
22,3.1.22,Y,
23,3.1.23,Y,
24,3.1.24,Y,
25,3.1.25,Y,
26,3.1.26,Y,
27,3.1.27,Y,
28,3.1.28,Y,
29,3.1.29,Y,
30,3.1.3,Y,
31,3.1.30,Y,
32,3.1.31,Y,
33,3.1.6,Y,
34,3.1.7,Y,
35,3.1.8,Y,
36,3.1.9,Y,
37,5.0.0,Y,
38,5.0.0-preview.1.20124.5,Y,
39,5.0.0-preview.2.20167.3,Y,
40,5.0.0-preview.3.20215.14,Y,
41,5.0.0-preview.4.20257.10,Y,
42,5.0.0-preview.5.20279.2,Y,
43,5.0.0-preview.6.20312.15,Y,
44,5.0.0-preview.7.20365.19,Y,
45,5.0.0-preview.8.20414.8,Y,
46,5.0.0-rc.1.20451.17,Y,
47,5.0.0-rc.2.20475.17,Y,
48,5.0.1,Y,
49,5.0.10,Y,
50,5.0.11,Y,
51,5.0.12,Y,
52,5.0.13,Y,
53,5.0.14,Y,
54,5.0.15,Y,
55,5.0.16,Y,
56,5.0.17,Y,
57,5.0.2,Y,
58,5.0.3,Y,
59,5.0.4,Y,
60,5.0.5,Y,
61,5.0.6,Y,
62,5.0.7,Y,
63,5.0.8,Y,
64,5.0.9,Y,
65,6.0.0,Y,
66,6.0.0-preview.1.21103.6,Y,
67,6.0.0-preview.2.21154.6,Y,
68,6.0.0-preview.3.21201.13,Y,
69,6.0.0-preview.4.21253.5,Y,
70,6.0.0-preview.5.21301.17,Y,
71,6.0.0-preview.6.21355.2,Y,
72,6.0.0-preview.7.21378.6,Y,
73,6.0.0-rc.1.21452.15,Y,
74,6.0.0-rc.2.21480.10,Y,
75,6.0.1,Y,
76,6.0.10,Y,
77,6.0.11,Y,
78,6.0.13,Y,
79,6.0.14,Y,
80,6.0.15,Y,
81,6.0.16,Y,
82,6.0.18,Y,
83,6.0.2,Y,
84,6.0.20,Y,
85,6.0.21,Y,
86,6.0.22,Y,
87,6.0.23,Y,
88,6.0.25,Y,
89,6.0.3,Y,
90,6.0.4,Y,
91,6.0.5,Y,
92,6.0.6,Y,
93,6.0.7,Y,
94,6.0.8,Y,
95,6.0.9,Y,
96,7.0.0,Y,
97,7.0.0-preview.1.22109.13,Y,
98,7.0.0-preview.2.22153.2,Y,
99,7.0.0-preview.3.22178.4,Y,
100,7.0.0-preview.4.22251.1,Y,
101,7.0.0-preview.5.22303.8,Y,
102,7.0.0-preview.6.22330.3,Y,
103,7.0.0-preview.7.22376.6,Y,
104,7.0.0-rc.1.22427.2,Y,
105,7.0.0-rc.2.22476.2,Y,
106,7.0.10,Y,
107,7.0.11,Y,
108,7.0.12,Y,
109,7.0.14,Y,
110,7.0.2,Y,
111,7.0.3,Y,
112,7.0.4,Y,
113,7.0.5,Y,
114,7.0.7,Y,
115,7.0.9,Y,
116,8.0.0,Y,
117,8.0.0-preview.1.23112.2,Y,
118,8.0.0-preview.2.23153.2,Y,
119,8.0.0-preview.3.23177.8,Y,
120,8.0.0-preview.4.23260.4,Y,
121,8.0.0-preview.5.23302.2,Y,
122,8.0.0-preview.6.23329.11,Y,
123,8.0.0-preview.7.23375.9,Y,
124,8.0.0-rc.1.23421.29,Y,
125,8.0.0-rc.2.23480.2,Y,
