,Version,Success,Description
0,0.1.0,Y,
1,0.1.1,Y,
2,0.1.10,Y,
3,0.1.11,Y,
4,0.1.12,Y,
5,0.1.13,Y,
6,0.1.14,Y,
7,0.1.15,Y,
8,0.1.16,Y,
9,0.1.17,Y,
10,0.1.19,Y,
11,0.1.2,Y,
12,0.1.20,Y,
13,0.1.21,Y,
14,0.1.22,Y,
15,0.1.23,Y,
16,0.1.24,Y,
17,0.1.25,Y,
18,0.1.3,Y,
19,0.1.4,Y,
20,0.1.5,Y,
21,0.1.6,Y,
22,0.1.7,Y,
23,0.1.8,Y,
24,0.1.9,Y,
25,0.2.0,Y,
26,0.2.1,Y,
27,0.2.10,N,Library loading error.
28,0.2.2,Y,
29,0.2.3,Y,
30,0.2.4,Y,
31,0.2.5,Y,
32,0.2.6,Y,
33,0.2.7,N,Library loading error.
34,0.2.8,N,Library loading error.
35,0.2.9,N,Library loading error.
36,1.0.0,N,Library loading error.
37,1.0.1,N,Library loading error.
38,1.0.2,N,Library loading error.
39,2.0.0,N,Library loading error.
40,2.0.0-rc.1,N,Library loading error.
41,2.0.0-rc.2,N,Library loading error.
42,2.0.1,N,Library loading error.
43,2.0.2,N,Library loading error.
44,2.0.3,N,Library loading error.
45,2.0.4,N,Library loading error.
46,2.0.5,N,Library loading error.
47,2.0.6,N,Library loading error.
48,2.0.7,N,Library loading error.
49,2.1.0,N,Library loading error.
50,2.1.1,N,Library loading error.
51,2.2.0,N,Library loading error.
52,2.2.1,N,Library loading error.
53,2.2.10,N,Library loading error.
54,2.2.11,N,Library loading error.
55,2.2.12,N,Library loading error.
56,2.2.13,N,Library loading error.
57,2.2.2,N,Library loading error.
58,2.2.3,N,Library loading error.
59,2.2.4,N,Library loading error.
60,2.2.5,N,Library loading error.
61,2.2.6,N,Library loading error.
62,2.2.7,N,Library loading error.
63,2.2.8,N,Library loading error.
64,2.2.9,N,Library loading error.
