,Version,Success,Description
0,0.1.0,Y,
1,0.1.1,Y,
2,0.1.10,Y,
3,0.1.11,Y,
4,0.1.12,Y,
5,0.1.13,Y,
6,0.1.14,Y,
7,0.1.15,Y,
8,0.1.16,Y,
9,0.1.17,Y,
10,0.1.18,Y,
11,0.1.19,Y,
12,0.1.2,Y,
13,0.1.20,Y,
14,0.1.21,Y,
15,0.1.22,Y,
16,0.1.23,Y,
17,0.1.24,Y,
18,0.1.25,Y,
19,0.1.26,Y,
20,0.1.27,Y,
21,0.1.28,Y,
22,0.1.29,Y,
23,0.1.3,Y,
24,0.1.30,Y,
25,0.1.31,Y,
26,0.1.32,Y,
27,0.1.33,Y,
28,0.1.34,Y,
29,0.1.34-beta.0,Y,
30,0.1.4,Y,
31,0.1.5,Y,
32,0.1.6,Y,
33,0.1.7,Y,
34,0.1.8,Y,
35,0.1.9,Y,
36,0.2.0,Y,
37,0.2.1,Y,
38,0.2.2-rc.1,Y,
39,0.2.3,Y,
40,0.2.4,Y,
41,0.2.5,Y,
42,0.2.6,Y,
43,0.2.7,Y,
44,0.2.8,Y,
45,1.0.0,Y,
46,1.0.0-rc.1,Y,
47,1.0.0-rc.2,Y,
48,1.0.0-rc.3,Y,
49,1.0.0-rc.4,Y,
50,1.0.0-rc.5,Y,
51,1.0.0-rc.6,Y,
52,1.0.0-rc.7,Y,
53,1.0.0-rc.8,Y,
54,1.0.1,Y,
55,1.1.0,Y,
56,1.1.0-rc.1,Y,
57,1.1.1,Y,
58,1.1.2,Y,
59,1.1.3,Y,
60,1.1.4,Y,
61,1.1.5,Y,
62,1.1.6,Y,
63,1.1.7,Y,
64,1.2.0,Y,
65,2.0.0,Y,
66,2.0.0-rc.0,Y,
67,2.0.0-rc.1,Y,
68,2.0.0-rc.2,Y,
69,2.0.0-rc.3,Y,
70,2.0.0-rc.4,Y,
71,2.0.0-rc.5,Y,
72,2.0.0-rc.6,Y,
73,2.0.0-rc.7,Y,
74,2.0.0-rc.8,Y,
75,2.0.0-rc.9,Y,
76,2.0.1,Y,
77,2.0.11-next.0,Y,
78,2.0.11-next.1,Y,
79,2.0.11-next.2,Y,
80,2.0.11-next.3,Y,
81,2.0.11-next.4,Y,
82,2.0.11-next.5,Y,
83,2.0.11-next.6,Y,
84,2.0.11-next.7,Y,
85,2.0.2,Y,
86,2.0.3,Y,
87,2.0.4,Y,
88,2.2.0,Y,
89,2.2.1,Y,
90,2.2.1-next.0,Y,
91,2.2.1-next.1,Y,
92,2.2.1-next.2,Y,
93,2.2.2,Y,
94,2.2.2-next.0,Y,
95,2.2.2-next.1,Y,
96,2.2.3,Y,
97,2.2.3-next.0,Y,
98,2.2.3-next.1,Y,
99,2.2.3-next.2,Y,
100,2.2.3-next.3,Y,
101,3.0.0-next.0,Y,
102,3.0.0-next.1,Y,
103,3.0.0-next.10,Y,
104,3.0.0-next.11,Y,
105,3.0.0-next.12,Y,
106,3.0.0-next.13,Y,
107,3.0.0-next.14,Y,
108,3.0.0-next.15,Y,
109,3.0.0-next.16,Y,
110,3.0.0-next.17,Y,
111,3.0.0-next.18,Y,
112,3.0.0-next.19,Y,
113,3.0.0-next.2,Y,
114,3.0.0-next.3,Y,
115,3.0.0-next.4,N,Library loading error.
116,3.0.0-next.5,N,Library loading error.
117,3.0.0-next.6,N,Library loading error.
118,3.0.0-next.7,N,Library loading error.
119,3.0.0-next.8,Y,
120,3.0.0-next.9,Y,
