,Version,Success,Description
0,0.0.1,Y,
1,0.0.1-alpha6,Y,
2,0.0.2,Y,
3,0.0.3,Y,
4,0.0.4,Y,
5,0.0.5,Y,
6,0.0.6,Y,
7,0.0.7,Y,
8,0.0.8,Y,
9,0.1.0,Y,
10,0.10.0,Y,
11,0.10.1,Y,
12,0.10.2,Y,
13,0.11.0,Y,
14,0.12.0,N,Library loading error.
15,0.12.1,N,Library loading error.
16,0.13.0,N,Library loading error.
17,0.14.0,N,Library loading error.
18,0.14.1,Y,
19,0.2.0,Y,
20,0.3.0,Y,
21,0.3.1,Y,
22,0.3.2,Y,
23,0.3.3,Y,
24,0.3.4,Y,
25,0.3.6,Y,
26,0.4.0,Y,
27,0.5.0,Y,
28,0.6.0,Y,
29,0.7.0,Y,
30,0.7.1,Y,
31,0.8.0,Y,
32,0.8.1,Y,
33,0.9.0,Y,
34,1.0.0,Y,
35,1.0.1,Y,
36,1.0.2,Y,
37,1.0.3,Y,
38,1.1.0,Y,
39,1.10.0,Y,
40,1.11.0,Y,
41,1.12.0,Y,
42,1.12.1,Y,
43,1.13.0,Y,
44,1.14.0,Y,
45,1.15.0,Y,
46,1.15.1,Y,
47,1.16.0,Y,
48,1.16.1,Y,
49,1.16.2,Y,
50,1.17.0,Y,
51,1.17.1,Y,
52,1.18.0,Y,
53,1.18.1,Y,
54,1.18.2,Y,
55,1.19.0,Y,
56,1.2.0,Y,
57,1.2.1,Y,
58,1.2.2,Y,
59,1.20.0,Y,
60,1.20.1,Y,
61,1.21.0,Y,
62,1.21.1,N,Library loading error.
63,1.21.2,Y,
64,1.21.3,Y,
65,1.21.4,Y,
66,1.21.5,Y,
67,1.3.0,Y,
68,1.3.1,Y,
69,1.3.2,Y,
70,1.4.0,Y,
71,1.4.1,Y,
72,1.4.2,Y,
73,1.4.3,Y,
74,1.5.0,Y,
75,1.6.0,Y,
76,1.7.0,Y,
77,1.7.1,Y,
78,1.7.2,Y,
79,1.7.3,Y,
80,1.7.4,Y,
81,1.8.0,Y,
82,1.8.1,Y,
83,1.8.2,Y,
84,1.9.0,Y,
85,10.0.0,Y,
86,10.1.0,Y,
87,10.2.0,Y,
88,2.0.0,Y,
89,2.0.1,Y,
90,2.1.0,Y,
91,2.2.0,Y,
92,2.2.1,Y,
93,2.2.3,Y,
94,2.2.4,Y,
95,2.2.5,Y,
96,2.3.0,Y,
97,2.3.1,Y,
98,2.3.2,Y,
99,2.3.3,Y,
100,2.3.4,Y,
101,2.4.1,Y,
102,2.4.2,Y,
103,2.4.3,Y,
104,2.4.4,Y,
105,2.4.5,Y,
106,2.5.0,Y,
107,2.5.1,Y,
108,2.5.2,Y,
109,2.5.3,Y,
110,3.0.0,Y,
111,3.0.0-0,Y,
112,3.0.0-1,Y,
113,3.0.0-2,Y,
114,3.0.1,Y,
115,3.0.2,Y,
116,3.1.0,Y,
117,3.1.1,Y,
118,3.1.2,Y,
119,3.2.0,Y,
120,3.3.0,Y,
121,3.4.0,Y,
122,3.4.1,Y,
123,3.4.2,Y,
124,3.5.0,Y,
125,3.5.1,Y,
126,3.5.2,Y,
127,3.5.3,Y,
128,4.0.0,Y,
129,4.0.1,Y,
130,4.1.0,Y,
131,5.0.0,Y,
132,5.0.1,Y,
133,5.0.2,Y,
134,5.0.3,Y,
135,5.0.4,Y,
136,5.0.5,Y,
137,5.1.0,Y,
138,5.1.1,Y,
139,5.2.0,Y,
140,6.0.0,Y,
141,6.0.0-0,Y,
142,6.0.0-1,Y,
143,6.0.1,Y,
144,6.0.2,Y,
145,6.1.0,Y,
146,6.1.1,Y,
147,6.1.2,Y,
148,6.1.3,Y,
149,6.1.4,Y,
150,6.2.0,Y,
151,6.2.1,Y,
152,6.2.2,Y,
153,7.0.0,Y,
154,7.0.1,Y,
155,7.1.0,Y,
156,7.1.1,Y,
157,7.1.2,Y,
158,7.2.0,Y,
159,8.0.0,Y,
160,8.0.1,Y,
161,8.1.0,Y,
162,8.1.1,Y,
163,8.1.2,Y,
164,8.1.3,Y,
165,8.2.0,Y,
166,8.2.1,Y,
167,8.3.0,Y,
168,8.3.1,Y,
169,8.3.2,Y,
170,8.4.0,Y,
171,9.0.0,Y,
172,9.0.1,Y,
173,9.0.2,Y,
174,9.0.3,Y,
175,9.1.0,Y,
176,9.1.1,Y,
177,9.1.2,Y,
178,9.1.3,Y,
179,9.1.4,Y,
180,9.2.0,Y,
181,9.2.1,Y,
182,9.2.2,Y,
