,Version,Success,Description
0,0.0.1,Y,
1,0.0.2,Y,
2,0.0.3,Y,
3,0.0.5,Y,
4,0.0.6,Y,
5,0.1.0,Y,
6,0.2.0,Y,
7,0.2.1,Y,
8,0.2.2,Y,
9,0.2.3,Y,
10,0.2.4,Y,
11,0.2.5,Y,
12,0.3.0,Y,
13,0.3.1,Y,
14,0.4.0,Y,
15,0.4.1,Y,
16,0.5.0,Y,
17,0.5.1,Y,
18,0.5.10,Y,
19,0.5.11,Y,
20,0.5.12,Y,
21,0.5.13,Y,
22,0.5.14,Y,
23,0.5.15,Y,
24,0.5.16,Y,
25,0.5.17,Y,
26,0.5.18,Y,
27,0.5.19,Y,
28,0.5.2,Y,
29,0.5.20,Y,
30,0.5.21,Y,
31,0.5.22,Y,
32,0.5.23,Y,
33,0.5.24,Y,
34,0.5.25,Y,
35,0.5.26,Y,
36,0.5.27,Y,
37,0.5.28,Y,
38,0.5.29,Y,
39,0.5.3,Y,
40,0.5.30,Y,
41,0.5.31,Y,
42,0.5.32,Y,
43,0.5.33,Y,
44,0.5.34,Y,
45,0.5.35,Y,
46,0.5.36,Y,
47,0.5.37,Y,
48,0.5.38,Y,
49,0.5.39,Y,
50,0.5.4,Y,
51,0.5.40,Y,
52,0.5.41,Y,
53,0.5.42,Y,
54,0.5.43,Y,
55,0.5.5,Y,
56,0.5.6,Y,
57,0.5.7,Y,
58,0.5.8,Y,
59,0.5.9,Y,
