,Version,Success,Description
0,1.0.0,Y,
1,1.0.1,Y,
2,1.1.0,Y,
3,1.1.1,Y,
4,1.2.0,Y,
5,1.3.0,Y,
6,1.4.0,Y,
7,1.5.0,Y,
8,1.5.1,Y,
9,1.6.0,Y,
10,1.6.1,Y,
11,1.6.2,Y,
12,1.7.0,Y,
13,1.7.1,Y,
14,1.7.2,Y,
15,2.0.0,Y,
16,2.1.0,Y,
17,2.10.0,Y,
18,2.10.1,Y,
19,2.10.2,Y,
20,2.10.3,Y,
21,2.10.5,Y,
22,2.10.6,Y,
23,2.11.0,Y,
24,2.11.1,Y,
25,2.11.2,Y,
26,2.12.0,Y,
27,2.13.0,Y,
28,2.14.0,Y,
29,2.14.1,Y,
30,2.15.0,Y,
31,2.15.1,Y,
32,2.15.2,Y,
33,2.16.0,Y,
34,2.17.0,Y,
35,2.17.1,Y,
36,2.18.0,Y,
37,2.18.1,Y,
38,2.19.0,Y,
39,2.19.1,Y,
40,2.19.2,Y,
41,2.19.3,Y,
42,2.19.4,Y,
43,2.2.1,Y,
44,2.20.0,Y,
45,2.20.1,Y,
46,2.21.0,Y,
47,2.22.0,Y,
48,2.22.1,Y,
49,2.22.2,Y,
50,2.23.0,Y,
51,2.24.0,Y,
52,2.25.0,Y,
53,2.25.1,Y,
54,2.25.3,Y,
55,2.26.0,Y,
56,2.27.0,Y,
57,2.28.0,Y,
58,2.29.0,Y,
59,2.29.1,Y,
60,2.29.2,Y,
61,2.29.3,Y,
62,2.29.4,Y,
63,2.3.0,Y,
64,2.3.1,Y,
65,2.4.0,Y,
66,2.5.0,Y,
67,2.5.1,Y,
68,2.6.0,Y,
69,2.7.0,Y,
70,2.8.0,Y,
71,2.8.1,Y,
72,2.8.2,Y,
73,2.8.3,Y,
74,2.8.4,Y,
75,2.9.0,Y,
