,Version,Success,Description
0,0.18.1,N,Library loading error.
1,0.18.2,N,Library loading error.
2,0.18.3,N,Library loading error.
3,0.18.4,N,Library loading error.
4,0.18.5,N,Library loading error.
5,0.19.0,N,Library loading error.
6,0.19.1,N,Library loading error.
7,0.19.2,N,Library loading error.
8,0.19.3,N,Library loading error.
9,0.19.4,N,Library loading error.
10,0.20.0,N,Library loading error.
11,0.20.1,N,Library loading error.
12,0.20.2,N,Library loading error.
13,0.20.3,N,Library loading error.
14,0.21.0,N,Library loading error.
15,0.21.1,N,Library loading error.
16,0.22.0,N,Library loading error.
17,0.22.1,N,Library loading error.
18,0.22.2,N,Library loading error.
19,0.22.3,N,Library loading error.
20,0.23.0,N,Library loading error.
21,0.23.1,N,Library loading error.
22,0.24.0,N,Library loading error.
23,0.24.1,N,Library loading error.
24,0.24.2,N,Library loading error.
25,0.24.3,N,Library loading error.
26,0.24.4,N,Library loading error.
27,0.24.5,N,Library loading error.
28,0.24.6,N,Library loading error.
29,0.25.0,N,Library loading error.
30,0.25.1,N,Library loading error.
31,0.25.2,N,Library loading error.
32,0.25.3,N,Library loading error.
33,0.25.4-beta.0,N,Library loading error.
34,0.26.0,N,Library loading error.
35,0.27.0,N,Library loading error.
36,0.27.1,N,Library loading error.
37,0.27.2,N,Library loading error.
38,0.27.3,N,Library loading error.
39,0.28.0,N,Library loading error.
40,0.29.0,N,Library loading error.
41,0.29.1,N,Library loading error.
42,0.29.2,N,Library loading error.
43,0.29.3,N,Library loading error.
44,0.29.4,N,Library loading error.
45,0.29.5,N,Library loading error.
46,0.29.6,N,Library loading error.
47,0.29.7,N,Library loading error.
48,0.29.8,N,Library loading error.
49,0.29.9,N,Library loading error.
50,0.29.9-beta.0,N,Library loading error.
51,0.29.9-beta.1,N,Library loading error.
52,0.30.0,N,Library loading error.
53,0.30.1-beta.0,N,Library loading error.
54,0.31.0,Y,
55,0.31.1,Y,
56,0.31.2,N,Library loading error.
57,0.32.0,N,Library loading error.
58,0.33.0,N,Library loading error.
59,0.34.0,N,Library loading error.
60,0.34.1,N,Library loading error.
61,0.34.2,N,Library loading error.
62,0.34.3,N,Library loading error.
63,0.35.0,N,Library loading error.
64,0.35.1,N,Library loading error.
65,0.35.2,N,Library loading error.
66,0.35.3,N,Library loading error.
67,0.35.4,N,Library loading error.
68,0.35.4-beta.0,N,Library loading error.
69,0.36.0,N,Library loading error.
70,0.36.1,N,Library loading error.
71,0.36.2,N,Library loading error.
72,0.36.3,N,Library loading error.
73,0.36.4,N,Library loading error.
74,0.36.5,N,Library loading error.
75,0.36.6,N,Library loading error.
76,0.37.0,N,Library loading error.
77,0.37.1,N,Library loading error.
78,0.38.0,N,Library loading error.
79,0.38.1,N,Library loading error.
80,0.39.0,N,Library loading error.
81,0.39.1,N,Library loading error.
82,0.40.0,N,Library loading error.
83,0.40.1,N,Library loading error.
84,0.41.0,N,Library loading error.
85,0.41.1,N,Library loading error.
86,0.42.0,N,Library loading error.
87,0.42.1,N,Library loading error.
88,0.42.2,N,Library loading error.
89,0.43.0,N,Library loading error.
90,0.43.1,N,Library loading error.
91,0.44.0,N,Library loading error.
92,0.44.1,N,Library loading error.
93,0.44.2,N,Library loading error.
94,0.44.3,N,Library loading error.
95,0.44.4,N,Library loading error.
96,0.45.0,N,Library loading error.
97,0.46.0,N,Library loading error.
98,0.46.1,N,Library loading error.
99,0.47.0,N,Library loading error.
100,0.47.1,N,Library loading error.
101,0.47.2,N,Library loading error.
102,0.47.3,Y,
103,0.47.4,Y,
104,0.47.5,N,Library loading error.
105,0.47.6,N,Library loading error.
106,0.47.7,N,Library loading error.
107,0.47.8,N,Library loading error.
108,0.47.9,N,Library loading error.
109,0.48.0,N,Library loading error.
110,0.49.0,N,Library loading error.
111,0.49.1,N,Library loading error.
112,0.50.0,N,Library loading error.
113,0.50.1,N,Library loading error.
114,0.50.2,N,Library loading error.
115,0.51.0,N,Library loading error.
116,0.51.1,N,Library loading error.
117,0.51.2,N,Library loading error.
118,0.52.0,N,Library loading error.
119,0.53.0,N,Library loading error.
