,Version,Success,Description
0,0.1,Y,
1,0.2,Y,
2,0.2.1,Y,
3,0.2.2,Y,
4,0.2.3,Y,
5,0.3.0,Y,
6,0.4.0,Y,
7,0.4.1,Y,
8,0.4.2,Y,
9,0.5.0-dev,Y,
10,0.5.0-vsc,Y,
11,0.5.1,Y,
12,0.5.1-vsc,Y,
13,0.5.2,Y,
14,0.5.2-vsc,Y,
15,0.6.0,Y,
16,0.7.0,Y,
17,0.7.1,Y,
18,0.7.2,Y,
19,0.7.3,Y,
20,0.8.0,Y,
21,0.8.1,Y,
22,0.8.2,Y,
23,1.0.0,Y,
24,1.1.0,Y,
25,1.2.0,Y,
26,2.0.0,Y,
27,2.1.0,Y,
28,2.1.1,Y,
29,2.1.2,Y,
30,2.1.3,Y,
31,2.2.0,Y,
32,2.2.1,Y,
33,2.3.0,Y,
34,2.3.1,Y,
35,2.3.2,Y,
36,3.0.0,Y,
37,3.0.1,Y,
38,3.0.2,Y,
39,3.0.3,Y,
40,3.1.0,Y,
41,3.2.0,Y,
42,3.2.1,Y,
43,4.0.0,Y,
44,4.0.1,Y,
45,4.1.0,Y,
46,4.2.0,N,Library loading error.
