,Version,Success,Description
0,0.1.0-alpha,N,Library loading error.
1,0.1.1-alpha,N,Library loading error.
2,0.1.10-alpha,N,Library loading error.
3,0.1.11-alpha,N,Library loading error.
4,0.1.12-alpha,N,Library loading error.
5,0.1.14-alpha,N,Library loading error.
6,0.1.15-alpha,N,Library loading error.
7,0.1.16-alpha,N,Library loading error.
8,0.1.17-alpha,N,Library loading error.
9,0.1.18-alpha,N,Library loading error.
10,0.1.19-alpha,N,Library loading error.
11,0.1.2-alpha,N,Library loading error.
12,0.1.20-alpha,N,Library loading error.
13,0.1.21-alpha,N,Library loading error.
14,0.1.22-alpha,N,Library loading error.
15,0.1.23-alpha,N,Library loading error.
16,0.1.24-alpha,N,Library loading error.
17,0.1.25-alpha,N,Library loading error.
18,0.1.26-alpha,N,Library loading error.
19,0.1.27-alpha,N,Library loading error.
20,0.1.3-alpha,N,Library loading error.
21,0.1.4-alpha,N,Library loading error.
22,0.1.5-alpha,N,Library loading error.
23,0.1.6-alpha,N,Library loading error.
24,0.1.7-alpha,N,Library loading error.
25,0.1.8-alpha,N,Library loading error.
26,0.1.9-alpha,N,Library loading error.
