,Version,Success,Description
0,1.0.1-beta.2,N,Library loading error.
1,1.0.10,N,Library loading error.
2,1.0.11,N,Library loading error.
3,1.0.12,N,Library loading error.
4,1.0.13,N,Library loading error.
5,1.0.14,N,Library loading error.
6,1.0.15,N,Library loading error.
7,1.0.16,N,Library loading error.
8,1.0.17,N,Library loading error.
9,1.0.18,N,Library loading error.
10,1.0.19,N,Library loading error.
11,1.0.2-beta.0,N,Library loading error.
12,1.0.2-beta.1,N,Library loading error.
13,1.0.2-beta.2,N,Library loading error.
14,1.0.20,N,Library loading error.
15,1.0.21,N,Library loading error.
16,1.0.22,N,Library loading error.
17,1.0.23,N,Library loading error.
18,1.0.24,N,Library loading error.
19,1.0.3,N,Library loading error.
20,1.0.4,N,Library loading error.
21,1.0.5,N,Library loading error.
22,1.0.6,N,Library loading error.
23,1.0.7,N,Library loading error.
24,1.0.8,N,Library loading error.
25,1.0.9,N,Library loading error.
26,1.1.0,N,Library loading error.
27,1.1.1,N,Library loading error.
28,1.1.10,N,Library loading error.
29,1.1.11,N,Library loading error.
30,1.1.12,N,Library loading error.
31,1.1.13,N,Library loading error.
32,1.1.13-0,N,Library loading error.
33,1.1.13-1,N,Library loading error.
34,1.1.14,N,Library loading error.
35,1.1.14-0,N,Library loading error.
36,1.1.14-1,N,Library loading error.
37,1.1.15,N,Library loading error.
38,1.1.16,N,Library loading error.
39,1.1.16-10,N,Library loading error.
40,1.1.16-11,N,Library loading error.
41,1.1.16-3,N,Library loading error.
42,1.1.16-4,N,Library loading error.
43,1.1.16-6,N,Library loading error.
44,1.1.16-7,N,Library loading error.
45,1.1.16-8,N,Library loading error.
46,1.1.16-9,N,Library loading error.
47,1.1.17,N,Library loading error.
48,1.1.2,N,Library loading error.
49,1.1.3,N,Library loading error.
50,1.1.4,N,Library loading error.
51,1.1.5,N,Library loading error.
52,1.1.6,N,Library loading error.
53,1.1.7,N,Library loading error.
54,1.1.8,N,Library loading error.
55,1.1.9,N,Library loading error.
56,1.2.0,N,Library loading error.
57,1.2.1,N,Library loading error.
58,1.2.2,N,Library loading error.
59,1.2.3,N,Library loading error.
60,1.2.4,N,Library loading error.
61,1.2.5,N,Library loading error.
62,1.2.6,N,Library loading error.
63,1.3.0,N,Library loading error.
64,1.3.1,N,Library loading error.
65,1.3.2,N,Library loading error.
66,1.3.3,N,Library loading error.
67,1.4.0,N,Library loading error.
68,1.4.0-beta.0,N,Library loading error.
69,1.4.0-beta.1,N,Library loading error.
70,1.4.0-beta.2,N,Library loading error.
71,1.4.0-beta.3,N,Library loading error.
72,1.4.0-beta.4,N,Library loading error.
73,1.4.0-beta.5,N,Library loading error.
74,1.4.0-beta.6,N,Library loading error.
75,1.4.1,N,Library loading error.
76,1.4.2,N,Library loading error.
77,1.5.0,N,Library loading error.
78,1.6.0,N,Library loading error.
79,1.6.1,N,Library loading error.
80,1.6.2,N,Library loading error.
81,1.6.3,Y,
82,2.0.0-beta.0,N,Library loading error.
83,2.0.0-rc.0,N,Library loading error.
