,Version,Success,Description
0,0.9.8,N,Library loading error.
1,1.1.7,N,Library loading error.
2,1.2.2,N,Library loading error.
3,1.2.8,N,Library loading error.
4,1.3.1,N,Library loading error.
5,10.0.0,Y,
6,10.1.0,Y,
7,11.0.0,Y,
8,11.0.1,Y,
9,11.0.2,Y,
10,11.0.3,Y,
11,11.1.0,Y,
12,12.0.0,Y,
13,12.1.0,Y,
14,13.0.0,Y,
15,13.1.0,Y,
16,13.1.1,Y,
17,13.1.2,Y,
18,13.1.3,Y,
19,13.1.4,Y,
20,13.1.5,Y,
21,14.0.0,Y,
22,14.0.1,Y,
23,14.0.2,Y,
24,14.0.3,Y,
25,14.1.0,Y,
26,14.1.1,Y,
27,14.2.0,Y,
28,14.3.0,Y,
29,14.4.0,Y,
30,14.5.0,Y,
31,14.6.0,Y,
32,14.6.1,Y,
33,14.6.2,Y,
34,14.6.3,Y,
35,14.6.4,Y,
36,14.7.0,Y,
37,15.0.0,Y,
38,15.1.0,Y,
39,15.1.1,Y,
40,15.2.0,Y,
41,15.3.0,Y,
42,15.4.0,Y,
43,15.5.0,Y,
44,15.5.1,Y,
45,15.6.0,Y,
46,15.6.1,Y,
47,15.7.0,Y,
48,15.7.1,Y,
49,2.0.0,N,Library loading error.
50,2.0.4,N,Library loading error.
51,2.1.3,N,Library loading error.
52,2.1.4,N,Library loading error.
53,2.5.0,N,Library loading error.
54,2.5.1,N,Library loading error.
55,2.5.2,N,Library loading error.
56,2.5.3,N,Library loading error.
57,2.5.4,N,Library loading error.
58,2.5.5,N,Library loading error.
59,3.0.0,N,Library loading error.
60,3.0.1,N,Library loading error.
61,3.0.2,N,Library loading error.
62,3.0.4,N,Library loading error.
63,3.0.6,N,Library loading error.
64,3.0.7,N,Library loading error.
65,3.0.9,N,Library loading error.
66,3.1.1,N,Library loading error.
67,3.2.0,N,Library loading error.
68,3.2.1,N,Library loading error.
69,4.0.0,N,Library loading error.
70,4.0.1,N,Library loading error.
71,4.0.2,N,Library loading error.
72,4.0.3,N,Library loading error.
73,4.1.0,N,Library loading error.
74,4.2.0,N,Library loading error.
75,4.2.2,N,Library loading error.
76,4.3.0,N,Library loading error.
77,5.0.0,N,Library loading error.
78,6.0.0,N,Library loading error.
79,6.1.0,N,Library loading error.
80,6.1.1,N,Library loading error.
81,6.2.0,N,Library loading error.
82,7.0.0,N,Library loading error.
83,7.0.1,N,Library loading error.
84,7.0.10,N,Library loading error.
85,7.0.3,N,Library loading error.
86,7.0.4,N,Library loading error.
87,7.0.5,N,Library loading error.
88,7.0.6,N,Library loading error.
89,7.0.7,N,Library loading error.
90,7.0.8,N,Library loading error.
91,7.0.9,N,Library loading error.
92,8.0.0,Y,
93,8.0.1,Y,
94,8.0.2,Y,
95,8.1.0,Y,
96,8.2.0,Y,
97,8.2.1,Y,
98,8.3.0,Y,
99,8.4.0,Y,
100,8.5.0,Y,
101,8.5.1,Y,
102,9.0.0,Y,
103,9.1.0,Y,
104,9.2.0,Y,
