,Version,Success,Description
0,1.10.0,Y,
1,1.10.1,Y,
2,1.10.2,Y,
3,1.10.3,Y,
4,1.11.0,Y,
5,1.11.1,Y,
6,1.12.0,Y,
7,1.12.1,Y,
8,1.12.2,Y,
9,1.12.3,Y,
10,1.12.4,Y,
11,1.13.0,Y,
12,1.14.0,Y,
13,1.14.1,Y,
14,1.14.2,Y,
15,1.14.3,Y,
16,1.14.4,Y,
17,1.14.5,Y,
18,1.14.6,Y,
19,1.14.7,Y,
20,1.15.0,Y,
21,1.15.1,Y,
22,1.15.2,Y,
23,1.4.0,Y,
24,1.5.0,Y,
25,1.5.2,Y,
26,1.5.3,Y,
27,1.5.4,Y,
28,1.6.0,Y,
29,1.7.0,Y,
30,1.8.0,Y,
31,1.8.1,Y,
32,1.8.2,Y,
33,1.8.3,Y,
34,1.8.4,Y,
35,1.8.5,Y,
36,1.8.6,Y,
37,1.8.7,Y,
38,1.9.0,Y,
39,2.0.0,Y,
40,2.0.1,Y,
41,2.0.2,Y,
42,2.0.3,Y,
43,2.1.0,Y,
44,2.1.1,Y,
45,2.1.2,Y,
46,2.1.3,Y,
47,2.1.4,Y,
48,2.1.5,Y,
