,Version,Success,Description
0,3.1.0,Y,
1,3.1.0-pre.2,Y,
2,3.1.0-pre.3,N,Library loading error.
3,3.1.1,Y,
4,3.10.0,Y,
5,3.10.1,Y,
6,3.11.0,Y,
7,3.11.0-beta.1,Y,
8,3.11.0-beta.2,Y,
9,3.11.1,Y,
10,3.11.2,Y,
11,3.12.0,Y,
12,3.12.1,Y,
13,3.13.0,Y,
14,3.13.1,Y,
15,3.14.0,Y,
16,3.14.1,Y,
17,3.14.2,Y,
18,3.15.0,Y,
19,3.15.1,Y,
20,3.16.0,Y,
21,3.16.0-alpha.3,Y,
22,3.17.0,Y,
23,3.17.1,Y,
24,3.18.0,Y,
25,3.18.1,Y,
26,3.18.2,Y,
27,3.19.0,Y,
28,3.19.1,Y,
29,3.2.0,Y,
30,3.2.1,Y,
31,3.20.0,Y,
32,3.20.1,Y,
33,3.21.0-beta.1,Y,
34,3.21.0-beta.2,Y,
35,3.3.0,Y,
36,3.4.0,Y,
37,3.5.0,Y,
38,3.6.0,Y,
39,3.7.0,Y,
40,3.8.0,Y,
41,3.8.0-alpha.1,Y,
42,3.8.1,Y,
43,3.8.2,Y,
44,3.9.0,Y,
45,3.9.0-alpha.1,Y,
46,4.0.0,Y,
47,4.0.0-beta.1,Y,
48,4.0.1,Y,
49,4.1.0,Y,
50,4.1.1,Y,
51,4.1.2-beta.1,Y,
52,4.2.0,Y,
53,4.3.0,Y,
54,4.3.0-beta.2,Y,
55,4.3.0-beta.3,Y,
56,4.3.1,Y,
57,4.3.2,Y,
58,4.3.3,Y,
59,4.3.4,Y,
60,4.4.0,Y,
61,4.4.1,Y,
62,4.4.2,Y,
63,4.5.0,Y,
64,4.5.0-beta.1,Y,
65,4.6.0,Y,
66,4.6.0-beta.1,Y,
67,4.6.1,Y,
68,4.6.2,Y,
69,4.6.3,Y,
70,4.6.4,Y,
71,4.6.5,Y,
