,Version,Success,Description
0,6.17.1,Y,
1,6.17.2,Y,
2,6.17.3,Y,
3,6.17.4,Y,
4,6.18.0,Y,
5,6.18.1,Y,
6,6.19.0,Y,
7,6.19.1,Y,
8,6.19.10,Y,
9,6.19.11,Y,
10,6.19.12,Y,
11,6.19.13,Y,
12,6.19.14,Y,
13,6.19.15,Y,
14,6.19.16,Y,
15,6.19.17,Y,
16,6.19.18,Y,
17,6.19.19,Y,
18,6.19.2,Y,
19,6.19.20,Y,
20,6.19.21,Y,
21,6.19.22,Y,
22,6.19.23,Y,
23,6.19.24,Y,
24,6.19.25,Y,
25,6.19.26,Y,
26,6.19.27,Y,
27,6.19.3,Y,
28,6.19.4,Y,
29,6.19.5,Y,
30,6.19.6,Y,
31,6.19.7,Y,
32,6.19.8,Y,
33,6.19.9,Y,
34,6.20.0,Y,
35,6.20.1,Y,
36,6.21.0,Y,
37,6.21.1,Y,
38,6.21.2,Y,
39,6.21.3,Y,
40,6.22.0,Y,
41,6.22.1,Y,
42,6.22.2,Y,
43,6.23.0,Y,
44,6.23.1,Y,
45,6.23.2,Y,
46,6.24.0,Y,
47,6.25.0,Y,
48,6.25.1,Y,
49,6.25.10,Y,
50,6.25.11,Y,
51,6.25.12,Y,
52,6.25.13,Y,
53,6.25.14,Y,
54,6.25.15,Y,
55,6.25.16,Y,
56,6.25.17,Y,
57,6.25.18,Y,
58,6.25.19,Y,
59,6.25.2,Y,
60,6.25.20,Y,
61,6.25.21,Y,
62,6.25.22,Y,
63,6.25.23,Y,
64,6.25.3,Y,
65,6.25.4,Y,
66,6.25.5,Y,
67,6.25.6,Y,
68,6.25.7,Y,
69,6.25.8,Y,
70,6.25.9,Y,
71,7.0.0,N,Library loading error.
72,7.0.0-alpha0,N,Library loading error.
73,7.0.0-alpha1,N,Library loading error.
74,7.0.0-alpha2,N,Library loading error.
75,7.0.0-beta0,N,Library loading error.
76,7.0.0-beta1,N,Library loading error.
77,7.0.0-beta2,N,Library loading error.
78,7.0.0-rc0,N,Library loading error.
79,7.0.0-rc1,N,Library loading error.
80,7.0.0-rc2,N,Library loading error.
81,7.0.0-rc3,N,Library loading error.
82,7.0.0-rc4,N,Library loading error.
83,7.1.0,N,Library loading error.
84,7.1.1,N,Library loading error.
85,7.1.10,N,Library loading error.
86,7.1.11,N,Library loading error.
87,7.1.12,N,Library loading error.
88,7.1.13,N,Library loading error.
89,7.1.14,N,Library loading error.
90,7.1.2,N,Library loading error.
91,7.1.3,N,Library loading error.
92,7.1.4,N,Library loading error.
93,7.1.5,N,Library loading error.
94,7.1.6,N,Library loading error.
95,7.1.7,N,Library loading error.
96,7.1.8,N,Library loading error.
97,7.1.9,N,Library loading error.
98,7.2.0,N,Library loading error.
99,7.2.1,N,Library loading error.
100,7.3.0,N,Library loading error.
101,7.3.1,N,Library loading error.
102,7.3.10,N,Library loading error.
103,7.3.2,N,Library loading error.
104,7.3.3,N,Library loading error.
105,7.3.4,N,Library loading error.
106,7.3.5,N,Library loading error.
107,7.3.6,N,Library loading error.
108,7.3.7,N,Library loading error.
109,7.3.8,N,Library loading error.
110,7.3.9,N,Library loading error.
