,Version,Success,Description
0,0.7.0,N,Library loading error.
1,0.7.1,N,Library loading error.
2,1.0.0,N,Library loading error.
3,1.0.1,N,Library loading error.
4,1.0.2,N,Library loading error.
5,1.0.3,N,Library loading error.
6,1.0.4,N,Library loading error.
7,1.1.0,N,Library loading error.
8,1.1.1,N,Library loading error.
9,1.1.2,N,Library loading error.
10,1.1.3,N,Library loading error.
11,1.1.4,N,Library loading error.
12,1.2.0,N,Library loading error.
13,1.2.0-beta,N,Library loading error.
14,1.2.1,N,Library loading error.
15,1.2.2,N,Library loading error.
16,1.2.2-beta,N,Library loading error.
17,1.3.0,N,Library loading error.
18,1.3.0-beta,N,Library loading error.
19,1.3.1,N,Library loading error.
20,1.3.10,N,Library loading error.
21,1.3.11,N,Library loading error.
22,1.3.12,N,Library loading error.
23,1.3.13,N,Library loading error.
24,1.3.14,N,Library loading error.
25,1.3.15,N,Library loading error.
26,1.3.16,N,Library loading error.
27,1.3.17,N,Library loading error.
28,1.3.18,N,Library loading error.
29,1.3.19,N,Library loading error.
30,1.3.2,N,Library loading error.
31,1.3.3,N,Library loading error.
32,1.3.4,N,Library loading error.
33,1.3.5,N,Library loading error.
34,1.3.6,N,Library loading error.
35,1.3.7,N,Library loading error.
36,1.3.8,N,Library loading error.
37,1.3.9,N,Library loading error.
38,2.0.0,N,Library loading error.
39,2.0.0-alpha,N,Library loading error.
40,2.0.0-alpha.1,Y,
41,2.0.0-alpha.10,Y,
42,2.0.0-alpha.11,Y,
43,2.0.0-alpha.12,Y,
44,2.0.0-alpha.13,Y,
45,2.0.0-alpha.14,Y,
46,2.0.0-alpha.15,Y,
47,2.0.0-alpha.2,Y,
48,2.0.0-alpha.3,Y,
49,2.0.0-alpha.4,Y,
50,2.0.0-alpha.5,Y,
51,2.0.0-alpha.6,Y,
52,2.0.0-alpha.7,Y,
53,2.0.0-alpha.8,Y,
54,2.0.0-alpha.9,Y,
55,2.0.0-beta,Y,
56,2.0.0-beta.1,Y,
57,2.0.0-beta.10,Y,
58,2.0.0-beta.11,Y,
59,2.0.0-beta.12,Y,
60,2.0.0-beta.13,Y,
61,2.0.0-beta.14,Y,
62,2.0.0-beta.15,Y,
63,2.0.0-beta.2,Y,
64,2.0.0-beta.3,Y,
65,2.0.0-beta.4,Y,
66,2.0.0-beta.5,Y,
67,2.0.0-beta.6,Y,
68,2.0.0-beta.7,Y,
69,2.0.0-beta.8,Y,
70,2.0.0-beta.9,Y,
71,2.0.0-rc.1,Y,
72,2.0.0-rc.10,Y,
73,2.0.0-rc.11,Y,
74,2.0.0-rc.12,Y,
75,2.0.0-rc.13,Y,
76,2.0.0-rc.14,Y,
77,2.0.0-rc.15,Y,
78,2.0.0-rc.16,Y,
79,2.0.0-rc.17,Y,
80,2.0.0-rc.18,Y,
81,2.0.0-rc.19,N,Library loading error.
82,2.0.0-rc.2,Y,
83,2.0.0-rc.3,Y,
84,2.0.0-rc.4,Y,
85,2.0.0-rc.5,Y,
86,2.0.0-rc.6,Y,
87,2.0.0-rc.7,Y,
88,2.0.0-rc.8,Y,
89,2.0.0-rc.9,Y,
90,2.0.1,Y,
91,2.0.2,Y,
92,2.0.3,Y,
93,2.0.4,Y,
94,2.0.5,Y,
95,2.1.0,Y,
96,2.10.0,N,Unknown fault.
97,2.10.1,N,Unknown fault.
98,2.10.10,N,Unknown fault.
99,2.10.2,N,Unknown fault.
100,2.10.3,N,Unknown fault.
101,2.10.4,N,Unknown fault.
102,2.10.5,N,Unknown fault.
103,2.10.6,N,Unknown fault.
104,2.10.8,N,Unknown fault.
105,2.10.9,N,Unknown fault.
106,2.11.0,N,Unknown fault.
107,2.11.1,N,Unknown fault.
108,2.11.2,N,Unknown fault.
109,2.12.0,N,Unknown fault.
110,2.12.1,N,Unknown fault.
111,2.12.2,N,Unknown fault.
112,2.12.3,N,Unknown fault.
113,2.12.4,N,Unknown fault.
114,2.12.5,N,Unknown fault.
115,2.12.6,N,Unknown fault.
116,2.12.7,N,Unknown fault.
117,2.12.8,N,Unknown fault.
118,2.2.0,Y,
119,2.2.1,Y,
120,2.2.2,Y,
121,2.2.3,Y,
122,2.2.4,Y,
123,2.2.5,N,Unknown fault.
124,2.2.6,N,Unknown fault.
125,2.3.0,N,Unknown fault.
126,2.3.1,N,Unknown fault.
127,2.3.2,N,Unknown fault.
128,2.3.3,N,Unknown fault.
129,2.4.0,N,Unknown fault.
130,2.4.1,N,Unknown fault.
131,2.4.2,N,Unknown fault.
132,2.5.0,N,Unknown fault.
133,2.5.1,N,Unknown fault.
134,2.5.2,N,Unknown fault.
135,2.5.3,N,Unknown fault.
136,2.6.0,N,Unknown fault.
137,2.6.1,N,Unknown fault.
138,2.7.0,N,Unknown fault.
139,2.7.1,N,Unknown fault.
140,2.7.2,N,Unknown fault.
141,2.8.0,N,Unknown fault.
142,2.8.1,N,Unknown fault.
143,2.8.2,N,Unknown fault.
144,2.8.3,N,Unknown fault.
145,2.9.0,N,Unknown fault.
146,2.9.1,N,Unknown fault.
147,2.9.2,N,Unknown fault.
