,Version,Success,Description
0,0.10.1,Y,
1,0.10.2,Y,
2,0.10.3,Y,
3,0.11.0,Y,
4,0.11.1,Y,
5,1.0.0,Y,
6,1.0.1,Y,
7,1.1.0,Y,
8,1.2.0,Y,
9,1.3.0,Y,
10,1.4.0,Y,
11,1.4.1,Y,
12,1.5.0,Y,
13,1.5.1,Y,
14,1.5.2,Y,
15,1.5.3,Y,
16,1.5.4,Y,
17,1.5.5,Y,
18,1.5.6,Y,
19,1.5.7,Y,
20,1.6.0,Y,
21,1.6.1,Y,
22,1.6.2,Y,
23,2.0.0,Y,
24,2.0.1,Y,
25,2.1.0,Y,
26,2.2.0,Y,
27,2.2.1,Y,
28,2.2.2,Y,
29,2.3.0,Y,
30,2.3.1,Y,
31,2.3.2,Y,
32,2.3.3,Y,
33,2.3.4,Y,
34,2.3.5,Y,
35,2.3.6,Y,
36,2.3.7,Y,
37,2.3.8,Y,
38,2.4.0,Y,
39,2.5.0,Y,
40,2.5.1,Y,
41,2.5.10,Y,
42,2.5.11,Y,
43,2.5.12,Y,
44,2.5.13,Y,
45,2.5.14,Y,
46,2.5.2,Y,
47,2.5.3,Y,
48,2.5.4,Y,
49,2.5.5,Y,
50,2.5.6,Y,
51,2.5.7,Y,
52,2.5.8,Y,
53,2.5.9,Y,
54,2.6.0,Y,
55,2.6.1,Y,
56,2.6.2,Y,
57,3.0.0,Y,
58,3.0.1,Y,
59,3.0.10,Y,
60,3.0.11,Y,
61,3.0.12,Y,
62,3.0.13,Y,
63,3.0.2,Y,
64,3.0.3,Y,
65,3.0.4,Y,
66,3.0.5,Y,
67,3.0.6,Y,
68,3.0.7,Y,
69,3.0.8,Y,
70,3.0.9,Y,
71,3.1.0,Y,
72,3.1.1,Y,
73,3.1.2,Y,
74,3.1.3,Y,
75,4.0.0,Y,
76,4.0.1,Y,
77,4.0.2,Y,
78,4.1.0,Y,
79,4.1.1,Y,
80,4.1.2,Y,
81,4.10.0,Y,
82,4.10.1,Y,
83,4.10.10,Y,
84,4.10.2,Y,
85,4.10.3,Y,
86,4.10.4,Y,
87,4.10.5,Y,
88,4.10.6,Y,
89,4.10.7,Y,
90,4.10.8,Y,
91,4.10.9,Y,
92,4.2.0,Y,
93,4.2.1,Y,
94,4.2.2,Y,
95,4.3.0,Y,
96,4.4.0,Y,
97,4.4.1,Y,
98,4.4.10,Y,
99,4.4.2,Y,
100,4.4.3,Y,
101,4.4.4,Y,
102,4.4.5,Y,
103,4.4.6,Y,
104,4.4.7,Y,
105,4.4.8,Y,
106,4.4.9,Y,
107,4.5.0,Y,
108,4.5.1,Y,
109,4.5.2,Y,
110,4.5.3,Y,
111,4.5.4,Y,
112,4.5.5,Y,
113,4.6.0,Y,
114,4.6.1,Y,
115,4.6.2,Y,
116,4.7.0,Y,
117,4.7.1,Y,
118,4.7.2,Y,
119,4.8.0,Y,
120,4.8.1,Y,
121,4.9.0,Y,
122,4.9.1,Y,
123,5.0.0,Y,
124,5.0.0-0,Y,
125,5.0.0-1,Y,
126,5.0.0-2,Y,
127,5.0.0-3,Y,
128,5.0.0-4,Y,
129,5.0.0-5,Y,
130,5.0.0-6,Y,
131,5.0.1,Y,
132,5.1.0,Y,
133,5.10.0,Y,
134,5.10.1,Y,
135,5.10.2,Y,
136,5.11.0,Y,
137,5.2.0,Y,
138,5.2.1,Y,
139,5.3.0,Y,
140,5.3.1,Y,
141,5.4.0,Y,
142,5.5.0,Y,
143,5.6.0,Y,
144,5.7.0,Y,
145,5.8.0,Y,
146,5.9.0,Y,
147,6.0.0-alpha.0,Y,
