,Version,Success,Description
0,0.10.0,Y,
1,0.11.0,Y,
2,0.12.0,Y,
3,0.3.1,Y,
4,0.4.0,Y,
5,0.4.1,Y,
6,0.4.10,Y,
7,0.4.11,Y,
8,0.4.2,Y,
9,0.4.3,Y,
10,0.4.4,Y,
11,0.4.5,Y,
12,0.4.6,Y,
13,0.4.7,Y,
14,0.4.8,Y,
15,0.4.9,Y,
16,0.5.0,Y,
17,0.5.1,Y,
18,0.6.0,Y,
19,0.6.1,Y,
20,0.6.2,Y,
21,0.6.3,Y,
22,0.6.4,Y,
23,0.6.5,Y,
24,0.6.6,Y,
25,0.6.7,Y,
26,0.6.8,Y,
27,0.6.9,Y,
28,0.7.0,Y,
29,0.7.1,Y,
30,0.7.2,Y,
31,0.7.3,Y,
32,0.8.0,Y,
33,0.9.0,Y,
34,1.0.0,Y,
35,1.0.1,Y,
36,1.1.0,Y,
37,1.2.0,Y,
38,1.2.1,Y,
39,1.3.0,Y,
40,1.3.1,Y,
41,1.3.2,Y,
42,1.3.3,Y,
43,1.3.4,Y,
