,Version,Success,Description
0,0.10.0,N,Library loading error.
1,0.10.1,N,Library loading error.
2,0.10.2,N,Library loading error.
3,0.2.0,Y,
4,0.2.1,Y,
5,0.2.10,Y,
6,0.2.11,Y,
7,0.2.12,Y,
8,0.2.13,Y,
9,0.2.17,Y,
10,0.2.18,Y,
11,0.2.19,Y,
12,0.2.2,Y,
13,0.2.20,Y,
14,0.2.21,Y,
15,0.2.22,Y,
16,0.2.23,Y,
17,0.2.3,Y,
18,0.2.4,Y,
19,0.2.5,Y,
20,0.2.6,Y,
21,0.2.7,Y,
22,0.2.8,Y,
23,0.2.9,Y,
24,0.3.0,Y,
25,0.3.1,Y,
26,0.3.10,Y,
27,0.3.11,N,Library loading error.
28,0.3.12,N,Library loading error.
29,0.3.13,N,Library loading error.
30,0.3.14,N,Library loading error.
31,0.3.15,N,Library loading error.
32,0.3.16,N,Library loading error.
33,0.3.2,Y,
34,0.3.3,Y,
35,0.3.4,Y,
36,0.3.5,Y,
37,0.3.6,Y,
38,0.3.7,Y,
39,0.3.8,Y,
40,0.3.9,Y,
41,0.4.0,N,Library loading error.
42,0.4.1,N,Library loading error.
43,0.4.10,N,Library loading error.
44,0.4.11,N,Library loading error.
45,0.4.12,N,Library loading error.
46,0.4.13,N,Library loading error.
47,0.4.14,N,Library loading error.
48,0.4.15,N,Library loading error.
49,0.4.16,N,Library loading error.
50,0.4.17,N,Library loading error.
51,0.4.18,N,Library loading error.
52,0.4.19,N,Library loading error.
53,0.4.2,N,Library loading error.
54,0.4.20,N,Library loading error.
55,0.4.21,N,Library loading error.
56,0.4.22,N,Library loading error.
57,0.4.23,N,Library loading error.
58,0.4.24,N,Library loading error.
59,0.4.3,N,Library loading error.
60,0.4.4,N,Library loading error.
61,0.4.5,N,Library loading error.
62,0.4.6,N,Library loading error.
63,0.4.7,N,Library loading error.
64,0.4.8,N,Library loading error.
65,0.4.9,N,Library loading error.
66,0.5.0,N,Library loading error.
67,0.5.1,N,Library loading error.
68,0.5.10,N,Library loading error.
69,0.5.11,N,Library loading error.
70,0.5.12,N,Library loading error.
71,0.5.13,N,Library loading error.
72,0.5.14,N,Library loading error.
73,0.5.15,N,Library loading error.
74,0.5.16,N,Library loading error.
75,0.5.2,N,Library loading error.
76,0.5.3,N,Library loading error.
77,0.5.4,N,Library loading error.
78,0.5.5,N,Library loading error.
79,0.5.6,N,Library loading error.
80,0.5.7,N,Library loading error.
81,0.5.8,N,Library loading error.
82,0.5.9,N,Library loading error.
83,0.6.0,N,Library loading error.
84,0.6.1,N,Library loading error.
85,0.7.0,N,Library loading error.
86,0.7.1,N,Library loading error.
87,0.7.2,N,Library loading error.
88,0.7.3,N,Library loading error.
89,0.8.0,N,Library loading error.
90,0.9.0,N,Library loading error.
91,1.0.0,N,Library loading error.
92,1.1.0,N,Library loading error.
93,1.1.1,N,Library loading error.
94,1.1.2,N,Library loading error.
95,1.1.3,N,Library loading error.
96,1.1.4,N,Library loading error.
97,1.1.5,N,Library loading error.
98,1.1.7,N,Library loading error.
99,1.1.8,N,Library loading error.
100,1.1.9,N,Library loading error.
101,1.2.0,N,Library loading error.
102,1.3.0,N,Library loading error.
103,1.3.1,N,Library loading error.
104,1.4.0,N,Library loading error.
105,1.4.1,N,Library loading error.
106,1.4.2,N,Library loading error.
107,1.5.0,N,Library loading error.
108,1.6.0,N,Library loading error.
109,1.7.0,N,Library loading error.
110,1.8.0,N,Library loading error.
111,1.9.0,N,Library loading error.
