,Version,Success,Description
0,0.4.0,Y,
1,0.4.1,N,Library loading error.
2,0.4.10,Y,
3,0.4.11,Y,
4,0.4.12,Y,
5,0.4.13,Y,
6,0.4.14,Y,
7,0.4.15,Y,
8,0.4.16,Y,
9,0.4.17,Y,
10,0.4.18,Y,
11,0.4.2,Y,
12,0.4.3,Y,
13,0.4.4,Y,
14,0.4.5,Y,
15,0.4.6,Y,
16,0.4.7,Y,
17,0.4.8,N,Library loading error.
18,0.4.9,Y,
19,0.5.0,Y,
20,0.5.1,Y,
21,0.5.2,Y,
22,0.5.3,Y,
23,0.5.4,Y,
24,0.5.5,Y,
25,0.5.6,Y,
26,0.5.7,Y,
27,0.6.0,Y,
28,0.6.1,Y,
29,0.7.0,Y,
30,0.7.1,Y,
31,0.7.2,Y,
32,0.7.3,Y,
33,0.7.4,Y,
34,0.7.5,Y,
35,0.7.6,Y,
36,0.7.7,Y,
37,0.7.8,Y,
38,1.0.0,Y,
39,1.0.1,Y,
40,1.0.2,Y,
41,1.2.0,Y,
42,1.2.1,Y,
43,1.2.2,Y,
44,1.2.3,Y,
45,1.2.4,Y,
